Year,Country,Month,No of Visitors,,,,,,,,,
2013,Czech Republic,April,4,,,,,,,,,
2013,Czech Republic,May,0,,,,,,,,,
2013,Czech Republic,June,1,,,,,,,,,
2013,Czech Republic,July,0,,,,,,,,,
2013,Czech Republic,Aug.,1,,,,,,,,,
2013,Czech Republic,Sept.,0,,,,,,,,,
2013,Czech Republic,Oct.,2,,,,,,,,,
2013,Czech Republic,Nov.,0,,,,,,,,,
2013,Czech Republic,Dec.,2,,,,,,,,,
2013,China,Jan.,689,,,,,,,,,
2013,China,Feb.,"1,291",,,,,,,,,
2013,China,Mar.,878,,,,,,,,,
2013,China,April,907,,,,,,,,,
2013,China,May,823,,,,,,,,,
2013,China,June,587,,,,,,,,,
2013,China,July,893,,,,,,,,,
2013,China,Aug.,"1,402",,,,,,,,,
2013,China,Sept.,"1,086",,,,,,,,,
2013,China,Oct.,"1,981",,,,,,,,,
2013,China,Nov.,"1,557",,,,,,,,,
2013,China,Dec.,"1,467",,,,,,,,,
2013,Denmark,Jan.,7,,,,,,,,,
2013,Denmark,Feb.,26,,,,,,,,,
2013,Denmark,Mar.,57,,,,,,,,,
2013,Denmark,April,18,,,,,,,,,
2013,Denmark,May,21,,,,,,,,,
2013,Denmark,June,4,,,,,,,,,
2013,Denmark,July,6,,,,,,,,,
2013,Denmark,Aug.,2,,,,,,,,,
2013,Denmark,Sept.,0,,,,,,,,,
2013,Denmark,Oct.,9,,,,,,,,,
2013,Denmark,Nov.,7,,,,,,,,,
2013,Denmark,Dec.,5,,,,,,,,,
2013,Finland,Jan.,15,,,,,,,,,
2013,Finland,Feb.,7,,,,,,,,,
2013,Finland,Mar.,15,,,,,,,,,
2013,Finland,April,5,,,,,,,,,
2013,Finland,May,6,,,,,,,,,
2013,Finland,June,0,,,,,,,,,
2013,Finland,July,6,,,,,,,,,
2013,Finland,Aug.,0,,,,,,,,,
2013,Finland,Sept.,2,,,,,,,,,
2013,Finland,Oct.,0,,,,,,,,,
2013,Finland,Nov.,0,,,,,,,,,
2013,Finland,Dec.,6,,,,,,,,,
2013,France,Jan.,52,,,,,,,,,
2013,France,Feb.,74,,,,,,,,,
2013,France,Mar.,123,,,,,,,,,
2013,France,April,119,,,,,,,,,
2013,France,May,87,,,,,,,,,
2013,France,June,41,,,,,,,,,
2013,France,July,48,,,,,,,,,
2013,France,Aug.,82,,,,,,,,,
2013,France,Sept.,35,,,,,,,,,
2013,France,Oct.,95,,,,,,,,,
2013,France,Nov.,148,,,,,,,,,
2013,France,Dec.,39,,,,,,,,,
2013,Germany,Jan.,55,,,,,,,,,
2013,Germany,Feb.,84,,,,,,,,,
2013,Germany,Mar.,262,,,,,,,,,
2013,Germany,April,75,,,,,,,,,
2013,Germany,May,81,,,,,,,,,
2013,Germany,June,39,,,,,,,,,
2013,Germany,July,42,,,,,,,,,
2013,Germany,Aug.,19,,,,,,,,,
2013,Germany,Sept.,55,,,,,,,,,
2013,Germany,Oct.,207,,,,,,,,,
2013,Germany,Nov.,140,,,,,,,,,
2013,Germany,Dec.,61,,,,,,,,,
2013,Greece,Jan.,4,,,,,,,,,
2013,Greece,Feb.,0,,,,,,,,,
2013,Greece,Mar.,2,,,,,,,,,
2013,Greece,April,0,,,,,,,,,
2013,Greece,May,1,,,,,,,,,
2013,Greece,June,0,,,,,,,,,
2013,Greece,July,0,,,,,,,,,
