Year,Country,Month,No of Visitors,,,,,,,,,
2013,U.S.A.,Aug.,58,,,,,,,,,
2013,U.S.A.,Sept.,55,,,,,,,,,
2013,U.S.A.,Oct.,111,,,,,,,,,
2013,U.S.A.,Nov.,133,,,,,,,,,
2013,U.S.A.,Dec.,144,,,,,,,,,
2013,Ukrain,Jan.,0,,,,,,,,,
2013,Ukrain,Feb.,5,,,,,,,,,
2013,Ukrain,Mar.,15,,,,,,,,,
2013,Ukrain,April,0,,,,,,,,,
2013,Ukrain,May,7,,,,,,,,,
2013,Ukrain,June,0,,,,,,,,,
2013,Ukrain,July,0,,,,,,,,,
2013,Ukrain,Aug.,2,,,,,,,,,
2013,Ukrain,Sept.,2,,,,,,,,,
2013,Ukrain,Oct.,1,,,,,,,,,
2013,Ukrain,Nov.,4,,,,,,,,,
2013,Ukrain,Dec.,0,,,,,,,,,
2013,Vietnam,Jan.,171,,,,,,,,,
2013,Vietnam,Feb.,144,,,,,,,,,
2013,Vietnam,Mar.,790,,,,,,,,,
2013,Vietnam,April,210,,,,,,,,,
2013,Vietnam,May,41,,,,,,,,,
2013,Vietnam,June,208,,,,,,,,,
2013,Vietnam,July,416,,,,,,,,,
2013,Vietnam,Aug.,111,,,,,,,,,
2013,Vietnam,Sept.,571,,,,,,,,,
2013,Vietnam,Oct.,325,,,,,,,,,
2013,Vietnam,Nov.,677,,,,,,,,,
2013,Vietnam,Dec.,66,,,,,,,,,
2013,Others,Jan.,29,,,,,,,,,
2013,Others,Feb.,37,,,,,,,,,
2013,Others,Mar.,84,,,,,,,,,
2013,Others,April,46,,,,,,,,,
2013,Others,May,46,,,,,,,,,
2013,Others,June,14,,,,,,,,,
2013,Others,July,22,,,,,,,,,
2013,Others,Aug.,27,,,,,,,,,
2013,Others,Sept.,8,,,,,,,,,
2013,Others,Oct.,41,,,,,,,,,
2013,Others,Nov.,20,,,,,,,,,
2013,Others,Dec.,99,,,,,,,,,
2012,Afghanistan,Jan.,0,,,,,,,,,
2012,Afghanistan,Feb.,0,,,,,,,,,
2012,Afghanistan,Mar.,0,,,,,,,,,
2012,Afghanistan,April,0,,,,,,,,,
2012,Afghanistan,May,0,,,,,,,,,
2012,Afghanistan,June,0,,,,,,,,,
2012,Afghanistan,July,0,,,,,,,,,
2012,Afghanistan,Aug.,0,,,,,,,,,
2012,Afghanistan,Sept.,0,,,,,,,,,
2012,Afghanistan,Oct.,0,,,,,,,,,
2012,Afghanistan,Nov.,0,,,,,,,,,
2012,Afghanistan,Dec.,1,,,,,,,,,
2012,Argentina,Jan.,2,,,,,,,,,
2012,Argentina,Feb.,0,,,,,,,,,
2012,Argentina,Mar.,5,,,,,,,,,
2012,Argentina,April,2,,,,,,,,,
2012,Argentina,May,5,,,,,,,,,
2012,Argentina,June,0,,,,,,,,,
2012,Argentina,July,0,,,,,,,,,
2012,Argentina,Aug.,3,,,,,,,,,
2012,Argentina,Sept.,2,,,,,,,,,
2012,Argentina,Oct.,13,,,,,,,,,
2012,Argentina,Nov.,2,,,,,,,,,
2012,Argentina,Dec.,8,,,,,,,,,
2012,Australia,Jan.,46,,,,,,,,,
2012,Australia,Feb.,76,,,,,,,,,
2012,Australia,Mar.,107,,,,,,,,,
2012,Australia,April,143,,,,,,,,,
2012,Australia,May,30,,,,,,,,,
2012,Australia,June,22,,,,,,,,,
2012,Australia,July,27,,,,,,,,,
2012,Australia,Aug.,28,,,,,,,,,
2012,Australia,Sept.,132,,,,,,,,,
2012,Australia,Oct.,220,,,,,,,,,
2012,Australia,Nov.,138,,,,,,,,,
2012,Australia,Dec.,235,,,,,,,,,
2012,Austria,Jan.,2,,,,,,,,,
2012,Austria,Feb.,0,,,,,,,,,
2012,Austria,Mar.,0,,,,,,,,,
2012,Austria,April,9,,,,,,,,,
2012,Austria,May,4,,,,,,,,,
2012,Austria,June,1,,,,,,,,,
2012,Austria,July,1,,,,,,,,,
2012,Austria,Aug.,18,,,,,,,,,
2012,Austria,Sept.,8,,,,,,,,,
2012,Austria,Oct.,6,,,,,,,,,
2012,Austria,Nov.,28,,,,,,,,,
2012,Austria,Dec.,7,,,,,,,,,
2012,Bangladesh,Jan.,0,,,,,,,,,
2012,Bangladesh,Feb.,0,,,,,,,,,
2012,Bangladesh,Mar.,48,,,,,,,,,
2012,Bangladesh,April,5,,,,,,,,,
2012,Bangladesh,May,4,,,,,,,,,
2012,Bangladesh,June,0,,,,,,,,,
2012,Bangladesh,July,4,,,,,,,,,
2012,Bangladesh,Aug.,1,,,,,,,,,
2012,Bangladesh,Sept.,3,,,,,,,,,
2012,Bangladesh,Oct.,2,,,,,,,,,
2012,Bangladesh,Nov.,36,,,,,,,,,
2012,Bangladesh,Dec.,45,,,,,,,,,
2012,Belguium,Jan.,0,,,,,,,,,
2012,Belguium,Feb.,21,,,,,,,,,
2012,Belguium,Mar.,5,,,,,,,,,
2012,Belguium,April,9,,,,,,,,,
2012,Belguium,May,5,,,,,,,,,
2012,Belguium,June,5,,,,,,,,,
2012,Belguium,July,15,,,,,,,,,
2012,Belguium,Aug.,17,,,,,,,,,
2012,Belguium,Sept.,8,,,,,,,,,
2012,Belguium,Oct.,31,,,,,,,,,
2012,Belguium,Nov.,54,,,,,,,,,
2012,Belguium,Dec.,17,,,,,,,,,
2012,Bhutan,Jan.,10,,,,,,,,,
2012,Bhutan,Feb.,2,,,,,,,,,
2012,Bhutan,Mar.,14,,,,,,,,,
2012,Bhutan,April,5,,,,,,,,,
2012,Bhutan,May,0,,,,,,,,,
2012,Bhutan,June,0,,,,,,,,,
2012,Bhutan,July,0,,,,,,,,,
2012,Bhutan,Aug.,7,,,,,,,,,
2012,Bhutan,Sept.,6,,,,,,,,,
2012,Bhutan,Oct.,7,,,,,,,,,
2012,Bhutan,Nov.,8,,,,,,,,,
2012,Bhutan,Dec.,10,,,,,,,,,
2012,Brazil,Jan.,0,,,,,,,,,
2012,Brazil,Feb.,0,,,,,,,,,
2012,Brazil,Mar.,0,,,,,,,,,
2012,Brazil,April,9,,,,,,,,,
2012,Brazil,May,0,,,,,,,,,
2012,Brazil,June,0,,,,,,,,,
2012,Brazil,July,0,,,,,,,,,
2012,Brazil,Aug.,12,,,,,,,,,
2012,Brazil,Sept.,2,,,,,,,,,
2012,Brazil,Oct.,8,,,,,,,,,
2012,Brazil,Nov.,8,,,,,,,,,
2012,Brazil,Dec.,6,,,,,,,,,
2012,Bulgeria,Jan.,0,,,,,,,,,
2012,Bulgeria,Feb.,0,,,,,,,,,
2012,Bulgeria,Mar.,0,,,,,,,,,
2012,Bulgeria,April,0,,,,,,,,,
2012,Bulgeria,May,0,,,,,,,,,
2012,Bulgeria,June,0,,,,,,,,,
2012,Bulgeria,July,0,,,,,,,,,
2012,Bulgeria,Aug.,2,,,,,,,,,
2012,Bulgeria,Sept.,0,,,,,,,,,
2012,Bulgeria,Oct.,1,,,,,,,,,
2012,Bulgeria,Nov.,0,,,,,,,,,
2012,Bulgeria,Dec.,0,,,,,,,,,
2012,Cambodia,Jan.,0,,,,,,,,,
2012,Cambodia,Feb.,280,,,,,,,,,
2012,Cambodia,Mar.,1,,,,,,,,,
2012,Cambodia,April,15,,,,,,,,,
2012,Cambodia,May,0,,,,,,,,,
2012,Cambodia,June,0,,,,,,,,,
2012,Cambodia,July,0,,,,,,,,,
2012,Cambodia,Aug.,40,,,,,,,,,
2012,Cambodia,Sept.,2,,,,,,,,,
2012,Cambodia,Oct.,14,,,,,,,,,
2012,Cambodia,Nov.,0,,,,,,,,,
2012,Cambodia,Dec.,317,,,,,,,,,
2012,Canada,Jan.,19,,,,,,,,,
2012,Canada,Feb.,7,,,,,,,,,
2012,Canada,Mar.,34,,,,,,,,,
2012,Canada,April,42,,,,,,,,,
2012,Canada,May,8,,,,,,,,,
2012,Canada,June,10,,,,,,,,,
2012,Canada,July,30,,,,,,,,,
2012,Canada,Aug.,35,,,,,,,,,
2012,Canada,Sept.,74,,,,,,,,,
2012,Canada,Oct.,69,,,,,,,,,
2012,Canada,Nov.,93,,,,,,,,,
2012,Canada,Dec.,27,,,,,,,,,
2012,Czech Republic,Jan.,0,,,,,,,,,
2012,Czech Republic,Feb.,0,,,,,,,,,
2012,Czech Republic,Mar.,3,,,,,,,,,
2012,Czech Republic,April,60,,,,,,,,,
2012,Czech Republic,May,15,,,,,,,,,
2012,Czech Republic,June,2,,,,,,,,,
2012,Czech Republic,July,0,,,,,,,,,
2012,Czech Republic,Aug.,16,,,,,,,,,
2012,Czech Republic,Sept.,2,,,,,,,,,
2012,Czech Republic,Oct.,42,,,,,,,,,
2012,Czech Republic,Nov.,14,,,,,,,,,
2012,Czech Republic,Dec.,6,,,,,,,,,
2012,China,Jan.,824,,,,,,,,,
2012,China,Feb.,534,,,,,,,,,
2012,China,Mar.,470,,,,,,,,,
2012,China,April,769,,,,,,,,,
2012,China,May,0,,,,,,,,,
2012,China,June,316,,,,,,,,,
2012,China,July,699,,,,,,,,,
2012,China,Aug.,619,,,,,,,,,
2012,China,Sept.,841,,,,,,,,,
2012,China,Oct.,"1,335",,,,,,,,,
2012,China,Nov.,"1,150",,,,,,,,,
2012,China,Dec.,"1,196",,,,,,,,,
2012,Denmark,Jan.,16,,,,,,,,,
2012,Denmark,Feb.,0,,,,,,,,,
2012,Denmark,Mar.,9,,,,,,,,,
2012,Denmark,April,44,,,,,,,,,
2012,Denmark,May,14,,,,,,,,,
2012,Denmark,June,3,,,,,,,,,
2012,Denmark,July,5,,,,,,,,,
2012,Denmark,Aug.,6,,,,,,,,,
2012,Denmark,Sept.,12,,,,,,,,,
2012,Denmark,Oct.,26,,,,,,,,,
2012,Denmark,Nov.,100,,,,,,,,,
2012,Denmark,Dec.,4,,,,,,,,,
2012,Finland,Jan.,0,,,,,,,,,
2012,Finland,Feb.,0,,,,,,,,,
2012,Finland,Mar.,3,,,,,,,,,
2012,Finland,April,0,,,,,,,,,
2012,Finland,May,0,,,,,,,,,
2012,Finland,June,0,,,,,,,,,
2012,Finland,July,0,,,,,,,,,
2012,Finland,Aug.,0,,,,,,,,,
2012,Finland,Sept.,2,,,,,,,,,
2012,Finland,Oct.,15,,,,,,,,,
2012,Finland,Nov.,3,,,,,,,,,
2012,Finland,Dec.,6,,,,,,,,,
2012,France,Jan.,24,,,,,,,,,
2012,France,Feb.,17,,,,,,,,,
2012,France,Mar.,145,,,,,,,,,
2012,France,April,115,,,,,,,,,
2012,France,May,67,,,,,,,,,
2012,France,June,15,,,,,,,,,
2012,France,July,13,,,,,,,,,
2012,France,Aug.,102,,,,,,,,,
2012,France,Sept.,54,,,,,,,,,
2012,France,Oct.,141,,,,,,,,,
2012,France,Nov.,230,,,,,,,,,
2012,France,Dec.,43,,,,,,,,,
2012,Germany,Jan.,19,,,,,,,,,
2012,Germany,Feb.,100,,,,,,,,,
2012,Germany,Mar.,149,,,,,,,,,
2012,Germany,April,172,,,,,,,,,
2012,Germany,May,24,,,,,,,,,
2012,Germany,June,40,,,,,,,,,
2012,Germany,July,67,,,,,,,,,
2012,Germany,Aug.,54,,,,,,,,,
2012,Germany,Sept.,58,,,,,,,,,
2012,Germany,Oct.,198,,,,,,,,,
2012,Germany,Nov.,171,,,,,,,,,
2012,Germany,Dec.,108,,,,,,,,,
2012,Greece,Jan.,6,,,,,,,,,
2012,Greece,Feb.,0,,,,,,,,,
2012,Greece,Mar.,0,,,,,,,,,
2012,Greece,April,0,,,,,,,,,
2012,Greece,May,0,,,,,,,,,
2012,Greece,June,1,,,,,,,,,
2012,Greece,July,0,,,,,,,,,
2012,Greece,Aug.,1,,,,,,,,,
2012,Greece,Sept.,4,,,,,,,,,
2012,Greece,Oct.,0,,,,,,,,,
2012,Greece,Nov.,3,,,,,,,,,
2012,Greece,Dec.,0,,,,,,,,,
2012,Indonesia,Jan.,1,,,,,,,,,
2012,Indonesia,Feb.,30,,,,,,,,,
2012,Indonesia,Mar.,55,,,,,,,,,
2012,Indonesia,April,15,,,,,,,,,
2012,Indonesia,May,17,,,,,,,,,
2012,Indonesia,June,52,,,,,,,,,
2012,Indonesia,July,17,,,,,,,,,
2012,Indonesia,Aug.,189,,,,,,,,,
2012,Indonesia,Sept.,2,,,,,,,,,
2012,Indonesia,Oct.,49,,,,,,,,,
2012,Indonesia,Nov.,179,,,,,,,,,
2012,Indonesia,Dec.,111,,,,,,,,,
2012,Irland,Jan.,0,,,,,,,,,
2012,Irland,Feb.,1,,,,,,,,,
2012,Irland,Mar.,1,,,,,,,,,
2012,Irland,April,8,,,,,,,,,
2012,Irland,May,3,,,,,,,,,
2012,Irland,June,6,,,,,,,,,
2012,Irland,July,0,,,,,,,,,
2012,Irland,Aug.,0,,,,,,,,,
2012,Irland,Sept.,2,,,,,,,,,
2012,Irland,Oct.,10,,,,,,,,,
2012,Irland,Nov.,38,,,,,,,,,
2012,Irland,Dec.,3,,,,,,,,,
2012,Israel,Jan.,2,,,,,,,,,
2012,Israel,Feb.,0,,,,,,,,,
2012,Israel,Mar.,5,,,,,,,,,
2012,Israel,April,12,,,,,,,,,
2012,Israel,May,2,,,,,,,,,
2012,Israel,June,0,,,,,,,,,
2012,Israel,July,0,,,,,,,,,
2012,Israel,Aug.,4,,,,,,,,,
2012,Israel,Sept.,7,,,,,,,,,
2012,Israel,Oct.,22,,,,,,,,,
2012,Israel,Nov.,21,,,,,,,,,
2012,Israel,Dec.,0,,,,,,,,,
2012,Italy,Jan.,7,,,,,,,,,
2012,Italy,Feb.,14,,,,,,,,,
2012,Italy,Mar.,15,,,,,,,,,
2012,Italy,April,25,,,,,,,,,
2012,Italy,May,26,,,,,,,,,
2012,Italy,June,3,,,,,,,,,
2012,Italy,July,5,,,,,,,,,
2012,Italy,Aug.,65,,,,,,,,,
2012,Italy,Sept.,35,,,,,,,,,
2012,Italy,Oct.,74,,,,,,,,,
2012,Italy,Nov.,99,,,,,,,,,
2012,Italy,Dec.,39,,,,,,,,,
2012,Japan,Jan.,215,,,,,,,,,
2012,Japan,Feb.,426,,,,,,,,,
2012,Japan,Mar.,201,,,,,,,,,
2012,Japan,April,105,,,,,,,,,
2012,Japan,May,42,,,,,,,,,
2012,Japan,June,21,,,,,,,,,
2012,Japan,July,28,,,,,,,,,
2012,Japan,Aug.,227,,,,,,,,,
2012,Japan,Sept.,87,,,,,,,,,
2012,Japan,Oct.,134,,,,,,,,,
2012,Japan,Nov.,163,,,,,,,,,
2012,Japan,Dec.,130,,,,,,,,,
2012,Malaysia,Jan.,19,,,,,,,,,
2012,Malaysia,Feb.,20,,,,,,,,,
2012,Malaysia,Mar.,86,,,,,,,,,
2012,Malaysia,April,32,,,,,,,,,
2012,Malaysia,May,11,,,,,,,,,
2012,Malaysia,June,14,,,,,,,,,
2012,Malaysia,July,45,,,,,,,,,
2012,Malaysia,Aug.,29,,,,,,,,,
2012,Malaysia,Sept.,59,,,,,,,,,
2012,Malaysia,Oct.,169,,,,,,,,,
2012,Malaysia,Nov.,382,,,,,,,,,
2012,Malaysia,Dec.,298,,,,,,,,,
2012,Mexico,Jan.,0,,,,,,,,,
2012,Mexico,Feb.,0,,,,,,,,,
2012,Mexico,Mar.,3,,,,,,,,,
2012,Mexico,April,13,,,,,,,,,
2012,Mexico,May,0,,,,,,,,,
2012,Mexico,June,3,,,,,,,,,
2012,Mexico,July,3,,,,,,,,,
2012,Mexico,Aug.,0,,,,,,,,,
2012,Mexico,Sept.,3,,,,,,,,,
2012,Mexico,Oct.,2,,,,,,,,,
2012,Mexico,Nov.,4,,,,,,,,,
2012,Mexico,Dec.,0,,,,,,,,,
2012,Myanmar,Jan.,"1,870",,,,,,,,,
2012,Myanmar,Feb.,"2,718",,,,,,,,,
2012,Myanmar,Mar.,"2,591",,,,,,,,,
2012,Myanmar,April,"1,675",,,,,,,,,
2012,Myanmar,May,76,,,,,,,,,
2012,Myanmar,June,8,,,,,,,,,
2012,Myanmar,July,20,,,,,,,,,
2012,Myanmar,Aug.,18,,,,,,,,,
2012,Myanmar,Sept.,148,,,,,,,,,
2012,Myanmar,Oct.,"1,599",,,,,,,,,
2012,Myanmar,Nov.,"3,556",,,,,,,,,
2012,Myanmar,Dec.,"3,316",,,,,,,,,
2012,Netherlands,Jan.,66,,,,,,,,,
2012,Netherlands,Feb.,107,,,,,,,,,
2012,Netherlands,Mar.,311,,,,,,,,,
2012,Netherlands,April,195,,,,,,,,,
2012,Netherlands,May,18,,,,,,,,,
2012,Netherlands,June,20,,,,,,,,,
2012,Netherlands,July,175,,,,,,,,,
2012,Netherlands,Aug.,183,,,,,,,,,
2012,Netherlands,Sept.,106,,,,,,,,,
2012,Netherlands,Oct.,340,,,,,,,,,
2012,Netherlands,Nov.,500,,,,,,,,,
2012,Netherlands,Dec.,114,,,,,,,,,
2012,New Zealand,Jan.,1,,,,,,,,,
2012,New Zealand,Feb.,0,,,,,,,,,
2012,New Zealand,Mar.,0,,,,,,,,,
2012,New Zealand,April,14,,,,,,,,,
2012,New Zealand,May,38,,,,,,,,,
2012,New Zealand,June,0,,,,,,,,,
2012,New Zealand,July,1,,,,,,,,,
2012,New Zealand,Aug.,30,,,,,,,,,
2012,New Zealand,Sept.,8,,,,,,,,,
2012,New Zealand,Oct.,40,,,,,,,,,
2012,New Zealand,Nov.,34,,,,,,,,,
2012,New Zealand,Dec.,26,,,,,,,,,
2012,Norway,Jan.,5,,,,,,,,,
2012,Norway,Feb.,1,,,,,,,,,
2012,Norway,Mar.,21,,,,,,,,,
2012,Norway,April,21,,,,,,,,,
2012,Norway,May,9,,,,,,,,,
2012,Norway,June,0,,,,,,,,,
2012,Norway,July,1,,,,,,,,,
2012,Norway,Aug.,2,,,,,,,,,
2012,Norway,Sept.,8,,,,,,,,,
2012,Norway,Oct.,0,,,,,,,,,
2012,Norway,Nov.,7,,,,,,,,,
2012,Norway,Dec.,1,,,,,,,,,
2012,Pakistan,Jan.,1,,,,,,,,,
2012,Pakistan,Feb.,2,,,,,,,,,
2012,Pakistan,Mar.,0,,,,,,,,,
2012,Pakistan,April,0,,,,,,,,,
2012,Pakistan,May,0,,,,,,,,,
2012,Pakistan,June,0,,,,,,,,,
2012,Pakistan,July,0,,,,,,,,,
2012,Pakistan,Aug.,0,,,,,,,,,
2012,Pakistan,Sept.,0,,,,,,,,,
2012,Pakistan,Oct.,0,,,,,,,,,
2012,Pakistan,Nov.,0,,,,,,,,,
2012,Pakistan,Dec.,2,,,,,,,,,
2012,Philipines,Jan.,0,,,,,,,,,
2012,Philipines,Feb.,0,,,,,,,,,
2012,Philipines,Mar.,0,,,,,,,,,
2012,Philipines,April,2,,,,,,,,,
2012,Philipines,May,1,,,,,,,,,
2012,Philipines,June,0,,,,,,,,,
2012,Philipines,July,0,,,,,,,,,
2012,Philipines,Aug.,0,,,,,,,,,
2012,Philipines,Sept.,4,,,,,,,,,
2012,Philipines,Oct.,0,,,,,,,,,
2012,Philipines,Nov.,0,,,,,,,,,
2012,Philipines,Dec.,2,,,,,,,,,
2012,Poland,Jan.,65,,,,,,,,,
2012,Poland,Feb.,161,,,,,,,,,
2012,Poland,Mar.,56,,,,,,,,,
2012,Poland,April,36,,,,,,,,,
2012,Poland,May,0,,,,,,,,,
2012,Poland,June,4,,,,,,,,,
2012,Poland,July,30,,,,,,,,,
2012,Poland,Aug.,36,,,,,,,,,
2012,Poland,Sept.,6,,,,,,,,,
2012,Poland,Oct.,59,,,,,,,,,
2012,Poland,Nov.,88,,,,,,,,,
2012,Poland,Dec.,27,,,,,,,,,
2012,Portugal,Jan.,0,,,,,,,,,
2012,Portugal,Feb.,0,,,,,,,,,
2012,Portugal,Mar.,1,,,,,,,,,
2012,Portugal,April,4,,,,,,,,,
2012,Portugal,May,0,,,,,,,,,
2012,Portugal,June,0,,,,,,,,,
2012,Portugal,July,1,,,,,,,,,
2012,Portugal,Aug.,7,,,,,,,,,
2012,Portugal,Sept.,3,,,,,,,,,
2012,Portugal,Oct.,3,,,,,,,,,
2012,Portugal,Nov.,2,,,,,,,,,
2012,Portugal,Dec.,4,,,,,,,,,
2012,Republic of Korea,Jan.,"1,068",,,,,,,,,
2012,Republic of Korea,Feb.,"1,530",,,,,,,,,
2012,Republic of Korea,Mar.,586,,,,,,,,,
2012,Republic of Korea,April,414,,,,,,,,,
2012,Republic of Korea,May,29,,,,,,,,,
2012,Republic of Korea,June,89,,,,,,,,,
2012,Republic of Korea,July,64,,,,,,,,,
2012,Republic of Korea,Aug.,123,,,,,,,,,
2012,Republic of Korea,Sept.,62,,,,,,,,,
2012,Republic of Korea,Oct.,311,,,,,,,,,
2012,Republic of Korea,Nov.,543,,,,,,,,,
2012,Republic of Korea,Dec.,339,,,,,,,,,
2012,Romania,Jan.,0,,,,,,,,,
2012,Romania,Feb.,0,,,,,,,,,
2012,Romania,Mar.,23,,,,,,,,,
2012,Romania,April,6,,,,,,,,,
2012,Romania,May,0,,,,,,,,,
2012,Romania,June,0,,,,,,,,,
2012,Romania,July,0,,,,,,,,,
2012,Romania,Aug.,61,,,,,,,,,
2012,Romania,Sept.,25,,,,,,,,,
2012,Romania,Oct.,0,,,,,,,,,
2012,Romania,Nov.,1,,,,,,,,,
2012,Romania,Dec.,1,,,,,,,,,
2012,Russian Federation,Jan.,21,,,,,,,,,
2012,Russian Federation,Feb.,0,,,,,,,,,
2012,Russian Federation,Mar.,78,,,,,,,,,
2012,Russian Federation,April,99,,,,,,,,,
2012,Russian Federation,May,48,,,,,,,,,
2012,Russian Federation,June,11,,,,,,,,,
2012,Russian Federation,July,11,,,,,,,,,
2012,Russian Federation,Aug.,18,,,,,,,,,
2012,Russian Federation,Sept.,24,,,,,,,,,
2012,Russian Federation,Oct.,18,,,,,,,,,
2012,Russian Federation,Nov.,44,,,,,,,,,
2012,Russian Federation,Dec.,102,,,,,,,,,
2012,Saudi Arab,Jan.,0,,,,,,,,,
2012,Saudi Arab,Feb.,0,,,,,,,,,
2012,Saudi Arab,Mar.,0,,,,,,,,,
2012,Saudi Arab,April,0,,,,,,,,,
2012,Saudi Arab,May,0,,,,,,,,,
2012,Saudi Arab,June,0,,,,,,,,,
2012,Saudi Arab,July,0,,,,,,,,,
2012,Saudi Arab,Aug.,0,,,,,,,,,
2012,Saudi Arab,Sept.,0,,,,,,,,,
2012,Saudi Arab,Oct.,0,,,,,,,,,
2012,Saudi Arab,Nov.,1,,,,,,,,,
2012,Saudi Arab,Dec.,0,,,,,,,,,
2012,Singapore,Jan.,53,,,,,,,,,
2012,Singapore,Feb.,27,,,,,,,,,
2012,Singapore,Mar.,30,,,,,,,,,
2012,Singapore,April,52,,,,,,,,,
2012,Singapore,May,25,,,,,,,,,
2012,Singapore,June,12,,,,,,,,,
2012,Singapore,July,61,,,,,,,,,
2012,Singapore,Aug.,2,,,,,,,,,
2012,Singapore,Sept.,18,,,,,,,,,
2012,Singapore,Oct.,172,,,,,,,,,
2012,Singapore,Nov.,174,,,,,,,,,
2012,Singapore,Dec.,277,,,,,,,,,
2012,Slovakia,Jan.,0,,,,,,,,,
2012,Slovakia,Feb.,0,,,,,,,,,
2012,Slovakia,Mar.,0,,,,,,,,,
2012,Slovakia,April,0,,,,,,,,,
2012,Slovakia,May,1,,,,,,,,,
2012,Slovakia,June,3,,,,,,,,,
2012,Slovakia,July,0,,,,,,,,,
2012,Slovakia,Aug.,40,,,,,,,,,
2012,Slovakia,Sept.,1,,,,,,,,,
2012,Slovakia,Oct.,1,,,,,,,,,
2012,Slovakia,Nov.,0,,,,,,,,,
2012,Slovakia,Dec.,4,,,,,,,,,
2012,South Africa,Jan.,0,,,,,,,,,
2012,South Africa,Feb.,0,,,,,,,,,
2012,South Africa,Mar.,0,,,,,,,,,
2012,South Africa,April,4,,,,,,,,,
2012,South Africa,May,0,,,,,,,,,
2012,South Africa,June,0,,,,,,,,,
2012,South Africa,July,0,,,,,,,,,
2012,South Africa,Aug.,0,,,,,,,,,
2012,South Africa,Sept.,0,,,,,,,,,
2012,South Africa,Oct.,4,,,,,,,,,
2012,South Africa,Nov.,3,,,,,,,,,
2012,South Africa,Dec.,2,,,,,,,,,
2012,Spain,Jan.,0,,,,,,,,,
2012,Spain,Feb.,0,,,,,,,,,
2012,Spain,Mar.,18,,,,,,,,,
2012,Spain,April,54,,,,,,,,,
2012,Spain,May,5,,,,,,,,,
2012,Spain,June,5,,,,,,,,,
2012,Spain,July,22,,,,,,,,,
2012,Spain,Aug.,151,,,,,,,,,
2012,Spain,Sept.,40,,,,,,,,,
2012,Spain,Oct.,79,,,,,,,,,
2012,Spain,Nov.,43,,,,,,,,,
2012,Spain,Dec.,37,,,,,,,,,
2012,Srilanka,Jan.,85,,,,,,,,,
2012,Srilanka,Feb.,"7,736",,,,,,,,,
2012,Srilanka,Mar.,"10,384",,,,,,,,,
2012,Srilanka,April,"1,689",,,,,,,,,
2012,Srilanka,May,35,,,,,,,,,
2012,Srilanka,June,54,,,,,,,,,
2012,Srilanka,July,709,,,,,,,,,
2012,Srilanka,Aug.,"15,035",,,,,,,,,
2012,Srilanka,Sept.,"5,295",,,,,,,,,
2012,Srilanka,Oct.,"4,344",,,,,,,,,
2012,Srilanka,Nov.,"5,982",,,,,,,,,
2012,Srilanka,Dec.,"1,323",,,,,,,,,
2012,Sweden,Jan.,0,,,,,,,,,
2012,Sweden,Feb.,2,,,,,,,,,
2012,Sweden,Mar.,3,,,,,,,,,
2012,Sweden,April,25,,,,,,,,,
2012,Sweden,May,0,,,,,,,,,
2012,Sweden,June,4,,,,,,,,,
2012,Sweden,July,0,,,,,,,,,
2012,Sweden,Aug.,0,,,,,,,,,
2012,Sweden,Sept.,7,,,,,,,,,
2012,Sweden,Oct.,4,,,,,,,,,
2012,Sweden,Nov.,19,,,,,,,,,
2012,Sweden,Dec.,11,,,,,,,,,
2012,Switzerland,Jan.,6,,,,,,,,,
2012,Switzerland,Feb.,9,,,,,,,,,
2012,Switzerland,Mar.,29,,,,,,,,,
2012,Switzerland,April,55,,,,,,,,,
2012,Switzerland,May,1,,,,,,,,,
2012,Switzerland,June,6,,,,,,,,,
2012,Switzerland,July,3,,,,,,,,,
2012,Switzerland,Aug.,8,,,,,,,,,
2012,Switzerland,Sept.,15,,,,,,,,,
2012,Switzerland,Oct.,50,,,,,,,,,
2012,Switzerland,Nov.,99,,,,,,,,,
2012,Switzerland,Dec.,18,,,,,,,,,
2012,Taiwan,Jan.,64,,,,,,,,,
2012,Taiwan,Feb.,277,,,,,,,,,
2012,Taiwan,Mar.,200,,,,,,,,,
2012,Taiwan,April,86,,,,,,,,,
2012,Taiwan,May,46,,,,,,,,,
2012,Taiwan,June,22,,,,,,,,,
2012,Taiwan,July,0,,,,,,,,,
2012,Taiwan,Aug.,40,,,,,,,,,
2012,Taiwan,Sept.,51,,,,,,,,,
2012,Taiwan,Oct.,98,,,,,,,,,
2012,Taiwan,Nov.,347,,,,,,,,,
2012,Taiwan,Dec.,115,,,,,,,,,
2012,Thailand,Jan.,"1,593",,,,,,,,,
2012,Thailand,Feb.,"5,044",,,,,,,,,
2012,Thailand,Mar.,"4,124",,,,,,,,,
2012,Thailand,April,"1,744",,,,,,,,,
2012,Thailand,May,249,,,,,,,,,
2012,Thailand,June,457,,,,,,,,,
2012,Thailand,July,371,,,,,,,,,
2012,Thailand,Aug.,441,,,,,,,,,
2012,Thailand,Sept.,375,,,,,,,,,
2012,Thailand,Oct.,"2,456",,,,,,,,,
2012,Thailand,Nov.,"6,312",,,,,,,,,
2012,Thailand,Dec.,"5,314",,,,,,,,,
2012,Turky,Jan.,0,,,,,,,,,
2012,Turky,Feb.,0,,,,,,,,,
2012,Turky,Mar.,1,,,,,,,,,
2012,Turky,April,8,,,,,,,,,
2012,Turky,May,1,,,,,,,,,
2012,Turky,June,0,,,,,,,,,
