Country,Month,No of visitors
Philipines,May,7
Philipines,June,1
Philipines,Oct.,5
Philipines,Nov.,3
Philipines,Dec.,10
Poland,Jan.,28
Poland,Feb.,34
Poland,Mar.,36
Poland,April,55
Poland,May,4
Poland,June,4
Poland,July,15
Poland,Aug.,43
Poland,Sept.,1
Poland,Nov.,86
Portugal,Jan.,1
Portugal,Mar.,1
Portugal,April,8
Portugal,May,9
Portugal,June,4
Portugal,Nov.,1
Portugal,Dec.,2
Republic of Korea,Jan.,"1,738"
Republic of Korea,Feb.,400
Republic of Korea,Mar.,480
Republic of Korea,April,188
Republic of Korea,May,177
Republic of Korea,June,174
Republic of Korea,July,189
Republic of Korea,Aug.,102
Republic of Korea,Sept.,153
Republic of Korea,Oct.,240
Republic of Korea,Nov.,842
Republic of Korea,Dec.,745
Romania,Mar.,2
Romania,April,1
Romania,May,3
Romania,June,2
Romania,Aug.,28
Romania,Sept.,2
Romania,Oct.,1
Romania,Nov.,4
Romania,Dec.,2
Russian Federation,Jan.,38
Russian Federation,Feb.,22
Russian Federation,Mar.,76
Russian Federation,April,31
Russian Federation,May,8
Russian Federation,June,13
Russian Federation,July,13
Russian Federation,Aug.,4
Russian Federation,Sept.,35
Russian Federation,Oct.,81
Russian Federation,Nov.,105
Russian Federation,Dec.,23
Saudi  Arab,Nov.,2
Singapore,Jan.,53
Singapore,Feb.,32
Singapore,Mar.,43
Singapore,April,79
Singapore,May,39
Singapore,July,8
Singapore,Aug.,3
Singapore,Sept.,46
Singapore,Oct.,21
Singapore,Nov.,108
Singapore,Dec.,126
Slovakia,Jan.,5
Slovakia,Mar.,7
Slovakia,April,5
Slovakia,July,2
Slovakia,Oct.,1
Slovakia,Dec.,3
South Africa,April,1
South Africa,May,1
South Africa,July,4
South Africa,Dec.,4
Spain,Jan.,27
Spain,Feb.,17
Spain,Mar.,37
Spain,April,14
Spain,May,19
Spain,June,9
Spain,July,54
Spain,Aug.,91
Spain,Sept.,29
Spain,Oct.,89
Spain,Nov.,31
Spain,Dec.,107
Srilanka,Jan.,"1,080"
Srilanka,Feb.,"5,387"
Srilanka,Mar.,"8,705"
Srilanka,April,836
Srilanka,May,547
Srilanka,June,905
Srilanka,July,953
Srilanka,Aug.,"6,810"
Srilanka,Sept.,"3,236"
Srilanka,Oct.,"3,421"
Srilanka,Nov.,"2,774"
Srilanka,Dec.,770
Sweden,Jan.,4
Sweden,Feb.,5
Sweden,Mar.,39
Sweden,April,48
Sweden,May,5
Sweden,Oct.,3
Sweden,Dec.,6
Switzerland,Jan.,9
Switzerland,Feb.,27
Switzerland,Mar.,52
Switzerland,April,62
Switzerland,May,38
Switzerland,June,20
Switzerland,July,15
Switzerland,Sept.,8
Switzerland,Oct.,4
Switzerland,Nov.,37
Switzerland,Dec.,9
Taiwan,Jan.,164
Taiwan,Feb.,189
Taiwan,Mar.,186
Taiwan,April,85
Taiwan,May,3
Taiwan,July,30
Taiwan,Aug.,28
Taiwan,Sept.,32
Taiwan,Oct.,113
Taiwan,Nov.,241
Taiwan,Dec.,262
Thailand,Jan.,"2,430"
Thailand,Feb.,"5,074"
Thailand,Mar.,"5,145"
Thailand,April,"1,332"
Thailand,May,769
Thailand,June,860
Thailand,July,266
Thailand,Aug.,165
Thailand,Sept.,"1,230"
Thailand,Oct.,"4,370"
Thailand,Nov.,"5,606"
Thailand,Dec.,"3,448"
Turky,Jan.,2
Turky,Feb.,8
Turky,Mar.,1
Turky,April,2
Turky,May,4
Turky,Aug.,2
Turky,Oct.,1
Turky,Dec.,4
U.K.,Jan.,73
U.K.,Feb.,106
U.K.,Mar.,178
U.K.,April,266
U.K.,May,99
U.K.,June,43
U.K.,July,52
U.K.,Aug.,104
U.K.,Sept.,47
U.K.,Oct.,230
U.K.,Nov.,121
U.K.,Dec.,131
U.S.A.,Jan.,82
U.S.A.,Feb.,258
U.S.A.,Mar.,185
U.S.A.,April,120
U.S.A.,May,114
U.S.A.,June,86
U.S.A.,July,89
U.S.A.,Aug.,58
U.S.A.,Sept.,55
U.S.A.,Oct.,111
U.S.A.,Nov.,133
U.S.A.,Dec.,144
Ukrain,Feb.,5
Ukrain,Mar.,15
Ukrain,May,7
Ukrain,Aug.,2
Ukrain,Sept.,2
Ukrain,Oct.,1
Ukrain,Nov.,4
Vietnam,Jan.,171
Vietnam,Feb.,144
Vietnam,Mar.,790
Vietnam,April,210
Vietnam,May,41
Vietnam,June,208
Vietnam,July,416
Vietnam,Aug.,111
Vietnam,Sept.,571
Vietnam,Oct.,325
Vietnam,Nov.,677
Vietnam,Dec.,66
Others,Jan.,29
Others,Feb.,37
Others,Mar.,84
Others,April,46
Others,May,46
Others,June,14
Others,July,22
Others,Aug.,27
Others,Sept.,8
Others,Oct.,41
Others,Nov.,20
Others,Dec.,99
