Year AD,Year BS,Country,Month,No of Visitors
2012,2069,France,June,15
2012,2069,France,July,13
2012,2069,France,Aug.,102
2012,2069,France,Sept.,54
2012,2069,France,Oct.,141
2012,2069,France,Nov.,230
2012,2069,France,Dec.,43
2012,2069,Germany,Jan.,19
2012,2069,Germany,Feb.,100
2012,2069,Germany,Mar.,149
2012,2069,Germany,April,172
2012,2069,Germany,May,24
2012,2069,Germany,June,40
2012,2069,Germany,July,67
2012,2069,Germany,Aug.,54
2012,2069,Germany,Sept.,58
2012,2069,Germany,Oct.,198
2012,2069,Germany,Nov.,171
2012,2069,Germany,Dec.,108
2012,2069,Greece,Jan.,6
2012,2069,Greece,Feb.,0
2012,2069,Greece,Mar.,0
2012,2069,Greece,April,0
2012,2069,Greece,May,0
2012,2069,Greece,June,1
2012,2069,Greece,July,0
2012,2069,Greece,Aug.,1
2012,2069,Greece,Sept.,4
2012,2069,Greece,Oct.,0
2012,2069,Greece,Nov.,3
2012,2069,Greece,Dec.,0
2012,2069,Indonesia,Jan.,1
2012,2069,Indonesia,Feb.,30
2012,2069,Indonesia,Mar.,55
2012,2069,Indonesia,April,15
2012,2069,Indonesia,May,17
2012,2069,Indonesia,June,52
2012,2069,Indonesia,July,17
2012,2069,Indonesia,Aug.,189
2012,2069,Indonesia,Sept.,2
2012,2069,Indonesia,Oct.,49
2012,2069,Indonesia,Nov.,179
2012,2069,Indonesia,Dec.,111
2012,2069,Irland,Jan.,0
2012,2069,Irland,Feb.,1
2012,2069,Irland,Mar.,1
2012,2069,Irland,April,8
2012,2069,Irland,May,3
2012,2069,Irland,June,6
2012,2069,Irland,July,0
2012,2069,Irland,Aug.,0
2012,2069,Irland,Sept.,2
2012,2069,Irland,Oct.,10
2012,2069,Irland,Nov.,38
2012,2069,Irland,Dec.,3
2012,2069,Israel,Jan.,2
2012,2069,Israel,Feb.,0
2012,2069,Israel,Mar.,5
2012,2069,Israel,April,12
2012,2069,Israel,May,2
2012,2069,Israel,June,0
2012,2069,Israel,July,0
2012,2069,Israel,Aug.,4
2012,2069,Israel,Sept.,7
2012,2069,Israel,Oct.,22
2012,2069,Israel,Nov.,21
2012,2069,Israel,Dec.,0
2012,2069,Italy,Jan.,7
2012,2069,Italy,Feb.,14
2012,2069,Italy,Mar.,15
2012,2069,Italy,April,25
2012,2069,Italy,May,26
2012,2069,Italy,June,3
2012,2069,Italy,July,5
2012,2069,Italy,Aug.,65
2012,2069,Italy,Sept.,35
2012,2069,Italy,Oct.,74
2012,2069,Italy,Nov.,99
2012,2069,Italy,Dec.,39
2012,2069,Japan,Jan.,215
2012,2069,Japan,Feb.,426
2012,2069,Japan,Mar.,201
2012,2069,Japan,April,105
2012,2069,Japan,May,42
2012,2069,Japan,June,21
2012,2069,Japan,July,28
2012,2069,Japan,Aug.,227
2012,2069,Japan,Sept.,87
2012,2069,Japan,Oct.,134
2012,2069,Japan,Nov.,163
2012,2069,Japan,Dec.,130
2012,2069,Malaysia,Jan.,19
2012,2069,Malaysia,Feb.,20
2012,2069,Malaysia,Mar.,86
2012,2069,Malaysia,April,32
2012,2069,Malaysia,May,11
2012,2069,Malaysia,June,14
2012,2069,Malaysia,July,45
2012,2069,Malaysia,Aug.,29
2012,2069,Malaysia,Sept.,59
2012,2069,Malaysia,Oct.,169
2012,2069,Malaysia,Nov.,382
2012,2069,Malaysia,Dec.,298
2012,2069,Mexico,Jan.,0
2012,2069,Mexico,Feb.,0
2012,2069,Mexico,Mar.,3
2012,2069,Mexico,April,13
2012,2069,Mexico,May,0
2012,2069,Mexico,June,3
2012,2069,Mexico,July,3
2012,2069,Mexico,Aug.,0
2012,2069,Mexico,Sept.,3
2012,2069,Mexico,Oct.,2
2012,2069,Mexico,Nov.,4
2012,2069,Mexico,Dec.,0
2012,2069,Myanmar,Jan.,1870
2012,2069,Myanmar,Feb.,2718
2012,2069,Myanmar,Mar.,2591
2012,2069,Myanmar,April,1675
2012,2069,Myanmar,May,76
2012,2069,Myanmar,June,8
2012,2069,Myanmar,July,20
2012,2069,Myanmar,Aug.,18
2012,2069,Myanmar,Sept.,148
2012,2069,Myanmar,Oct.,1599
2012,2069,Myanmar,Nov.,3556
2012,2069,Myanmar,Dec.,3316
2012,2069,Netherlands,Jan.,66
2012,2069,Netherlands,Feb.,107
2012,2069,Netherlands,Mar.,311
2012,2069,Netherlands,April,195
2012,2069,Netherlands,May,18
2012,2069,Netherlands,June,20
2012,2069,Netherlands,July,175
2012,2069,Netherlands,Aug.,183
2012,2069,Netherlands,Sept.,106
2012,2069,Netherlands,Oct.,340
2012,2069,Netherlands,Nov.,500
2012,2069,Netherlands,Dec.,114
2012,2069,New Zealand,Jan.,1
2012,2069,New Zealand,Feb.,0
2012,2069,New Zealand,Mar.,0
2012,2069,New Zealand,April,14
2012,2069,New Zealand,May,38
2012,2069,New Zealand,June,0
2012,2069,New Zealand,July,1
2012,2069,New Zealand,Aug.,30
2012,2069,New Zealand,Sept.,8
2012,2069,New Zealand,Oct.,40
2012,2069,New Zealand,Nov.,34
2012,2069,New Zealand,Dec.,26
2012,2069,Norway,Jan.,5
2012,2069,Norway,Feb.,1
2012,2069,Norway,Mar.,21
2012,2069,Norway,April,21
2012,2069,Norway,May,9
2012,2069,Norway,June,0
2012,2069,Norway,July,1
2012,2069,Norway,Aug.,2
2012,2069,Norway,Sept.,8
2012,2069,Norway,Oct.,0
2012,2069,Norway,Nov.,7
2012,2069,Norway,Dec.,1
2012,2069,Pakistan,Jan.,1
2012,2069,Pakistan,Feb.,2
2012,2069,Pakistan,Mar.,0
2012,2069,Pakistan,April,0
2012,2069,Pakistan,May,0
2012,2069,Pakistan,June,0
2012,2069,Pakistan,July,0
2012,2069,Pakistan,Aug.,0
2012,2069,Pakistan,Sept.,0
2012,2069,Pakistan,Oct.,0
2012,2069,Pakistan,Nov.,0
2012,2069,Pakistan,Dec.,2
2012,2069,Philipines,Jan.,0
2012,2069,Philipines,Feb.,0
2012,2069,Philipines,Mar.,0
2012,2069,Philipines,April,2
2012,2069,Philipines,May,1
2012,2069,Philipines,June,0
2012,2069,Philipines,July,0
2012,2069,Philipines,Aug.,0
2012,2069,Philipines,Sept.,4
2012,2069,Philipines,Oct.,0
2012,2069,Philipines,Nov.,0
2012,2069,Philipines,Dec.,2
2012,2069,Poland,Jan.,65
2012,2069,Poland,Feb.,161
2012,2069,Poland,Mar.,56
2012,2069,Poland,April,36
2012,2069,Poland,May,0
2012,2069,Poland,June,4
2012,2069,Poland,July,30
2012,2069,Poland,Aug.,36
2012,2069,Poland,Sept.,6
2012,2069,Poland,Oct.,59
2012,2069,Poland,Nov.,88
2012,2069,Poland,Dec.,27
2012,2069,Portugal,Jan.,0
2012,2069,Portugal,Feb.,0
2012,2069,Portugal,Mar.,1
2012,2069,Portugal,April,4
2012,2069,Portugal,May,0
2012,2069,Portugal,June,0
2012,2069,Portugal,July,1
2012,2069,Portugal,Aug.,7
2012,2069,Portugal,Sept.,3
2012,2069,Portugal,Oct.,3
2012,2069,Portugal,Nov.,2
2012,2069,Portugal,Dec.,4
2012,2069,Republic of Korea,Jan.,1068
2012,2069,Republic of Korea,Feb.,1530
2012,2069,Republic of Korea,Mar.,586
2012,2069,Republic of Korea,April,414
2012,2069,Republic of Korea,May,29
2012,2069,Republic of Korea,June,89
2012,2069,Republic of Korea,July,64
2012,2069,Republic of Korea,Aug.,123
2012,2069,Republic of Korea,Sept.,62
2012,2069,Republic of Korea,Oct.,311
2012,2069,Republic of Korea,Nov.,543
2012,2069,Republic of Korea,Dec.,339
2012,2069,Romania,Jan.,0
2012,2069,Romania,Feb.,0
2012,2069,Romania,Mar.,23
2012,2069,Romania,April,6
2012,2069,Romania,May,0
2012,2069,Romania,June,0
2012,2069,Romania,July,0
2012,2069,Romania,Aug.,61
2012,2069,Romania,Sept.,25
2012,2069,Romania,Oct.,0
2012,2069,Romania,Nov.,1
2012,2069,Romania,Dec.,1
2012,2069,Russian Federation,Jan.,21
2012,2069,Russian Federation,Feb.,0
2012,2069,Russian Federation,Mar.,78
2012,2069,Russian Federation,April,99
2012,2069,Russian Federation,May,48
2012,2069,Russian Federation,June,11
2012,2069,Russian Federation,July,11
2012,2069,Russian Federation,Aug.,18
2012,2069,Russian Federation,Sept.,24
2012,2069,Russian Federation,Oct.,18
2012,2069,Russian Federation,Nov.,44
2012,2069,Russian Federation,Dec.,102
2012,2069,Saudi Arab,Jan.,0
2012,2069,Saudi Arab,Feb.,0
2012,2069,Saudi Arab,Mar.,0
2012,2069,Saudi Arab,April,0
2012,2069,Saudi Arab,May,0
2012,2069,Saudi Arab,June,0
2012,2069,Saudi Arab,July,0
2012,2069,Saudi Arab,Aug.,0
2012,2069,Saudi Arab,Sept.,0
2012,2069,Saudi Arab,Oct.,0
2012,2069,Saudi Arab,Nov.,1
2012,2069,Saudi Arab,Dec.,0
2012,2069,Singapore,Jan.,53
2012,2069,Singapore,Feb.,27
2012,2069,Singapore,Mar.,30
2012,2069,Singapore,April,52
2012,2069,Singapore,May,25
2012,2069,Singapore,June,12
2012,2069,Singapore,July,61
2012,2069,Singapore,Aug.,2
2012,2069,Singapore,Sept.,18
2012,2069,Singapore,Oct.,172
2012,2069,Singapore,Nov.,174
2012,2069,Singapore,Dec.,277
2012,2069,Slovakia,Jan.,0
