Year AD,Year BS,Country,Month,No of visitors
2014/2015,2071/72,Finland,May,4
2014/2015,2071/72,Finland,June,2
2014/2015,2071/72,Finland,July,5
2014/2015,2071/72,Finland,Aug.,4
2014/2015,2071/72,France,Jan.,55
2014/2015,2071/72,France,Feb.,146
2014/2015,2071/72,France,Mar.,238
2014/2015,2071/72,France,April,122
2014/2015,2071/72,France,May,85
2014/2015,2071/72,France,June,27
2014/2015,2071/72,France,July,53
2014/2015,2071/72,France,Aug.,112
2014/2015,2071/72,France,Sept.,91
2014/2015,2071/72,France,Oct.,313
2014/2015,2071/72,France,Nov.,282
2014/2015,2071/72,France,Dec.,163
2014/2015,2071/72,Germany,Jan.,61
2014/2015,2071/72,Germany,Feb.,107
2014/2015,2071/72,Germany,Mar.,227
2014/2015,2071/72,Germany,April,159
2014/2015,2071/72,Germany,May,66
2014/2015,2071/72,Germany,June,29
2014/2015,2071/72,Germany,July,49
2014/2015,2071/72,Germany,Aug.,68
2014/2015,2071/72,Germany,Sept.,81
2014/2015,2071/72,Germany,Oct.,302
2014/2015,2071/72,Germany,Nov.,298
2014/2015,2071/72,Germany,Dec.,144
2014/2015,2071/72,Greece,Jan.,1
2014/2015,2071/72,Hong Kong,Jan.,20
2014/2015,2071/72,Hong Kong,Feb.,6
2014/2015,2071/72,Hong Kong,Mar.,34
2014/2015,2071/72,Hong Kong,April,7
2014/2015,2071/72,Hong Kong,May,6
2014/2015,2071/72,Hong Kong,June,6
2014/2015,2071/72,Hong Kong,July,12
2014/2015,2071/72,Hong Kong,Aug.,2
2014/2015,2071/72,Hong Kong,Sept.,1
2014/2015,2071/72,Hong Kong,Oct.,9
2014/2015,2071/72,Hong Kong,Nov.,45
2014/2015,2071/72,Hong Kong,Dec.,12
2014/2015,2071/72,Indonesia,Jan.,28
2014/2015,2071/72,Indonesia,Feb.,45
2014/2015,2071/72,Indonesia,Mar.,2
2014/2015,2071/72,Indonesia,April,19
2014/2015,2071/72,Indonesia,May,5
2014/2015,2071/72,Indonesia,June,18
2014/2015,2071/72,Indonesia,July,129
2014/2015,2071/72,Indonesia,Aug.,17
2014/2015,2071/72,Indonesia,Sept.,3
2014/2015,2071/72,Indonesia,Oct.,4
2014/2015,2071/72,Indonesia,Nov.,159
2014/2015,2071/72,Indonesia,Dec.,72
2014/2015,2071/72,Ireland,Jan.,2
2014/2015,2071/72,Ireland,Feb.,2
2014/2015,2071/72,Israel,Jan.,1
2014/2015,2071/72,Israel,Feb.,7
2014/2015,2071/72,Israel,Mar.,4
2014/2015,2071/72,Israel,April,13
2014/2015,2071/72,Israel,May,12
2014/2015,2071/72,Israel,June,2
2014/2015,2071/72,Israel,July,8
2014/2015,2071/72,Italy,Jan.,24
2014/2015,2071/72,Italy,Feb.,45
2014/2015,2071/72,Italy,Mar.,50
2014/2015,2071/72,Italy,April,27
2014/2015,2071/72,Italy,May,24
2014/2015,2071/72,Italy,June,32
2014/2015,2071/72,Italy,July,5
2014/2015,2071/72,Italy,Aug.,106
2014/2015,2071/72,Italy,Sept.,22
2014/2015,2071/72,Italy,Oct.,37
2014/2015,2071/72,Italy,Nov.,115
2014/2015,2071/72,Italy,Dec.,34
2014/2015,2071/72,Japan,Jan.,262
2014/2015,2071/72,Japan,Feb.,678
2014/2015,2071/72,Japan,Mar.,465
2014/2015,2071/72,Japan,April,74
2014/2015,2071/72,Japan,May,97
2014/2015,2071/72,Japan,June,64
2014/2015,2071/72,Japan,July,37
2014/2015,2071/72,Japan,Aug.,133
2014/2015,2071/72,Japan,Sept.,133
2014/2015,2071/72,Japan,Oct.,197
2014/2015,2071/72,Japan,Nov.,178
2014/2015,2071/72,Japan,Dec.,209
2014/2015,2071/72,Malaysia,Jan.,2
2014/2015,2071/72,Malaysia,Feb.,248
2014/2015,2071/72,Malaysia,Mar.,303
2014/2015,2071/72,Malaysia,April,276
2014/2015,2071/72,Malta,Jan.,58
2014/2015,2071/72,Malta,Feb.,153
2014/2015,2071/72,Malta,Mar.,276
2014/2015,2071/72,Malta,April,99
2014/2015,2071/72,Malta,May,41
2014/2015,2071/72,Malta,June,49
2014/2015,2071/72,Malta,July,39
2014/2015,2071/72,Malta,Aug.,50
2014/2015,2071/72,Malta,Sept.,100
2014/2015,2071/72,Mongolia,Jan.,12
2014/2015,2071/72,Mongolia,Feb.,17
2014/2015,2071/72,Mongolia,Mar.,2
2014/2015,2071/72,Mongolia,April,15
2014/2015,2071/72,Mongolia,May,23
2014/2015,2071/72,Mongolia,June,24
2014/2015,2071/72,Mongolia,July,13
2014/2015,2071/72,Mongolia,Aug.,70
2014/2015,2071/72,Mongolia,Sept.,61
2014/2015,2071/72,Mongolia,Oct.,4
2014/2015,2071/72,Mexico,Jan.,4
2014/2015,2071/72,Mexico,Feb.,14
2014/2015,2071/72,Mexico,Mar.,3
2014/2015,2071/72,Mexico,April,1
2014/2015,2071/72,Mexico,May,2
2014/2015,2071/72,Mexico,June,8
2014/2015,2071/72,Mexico,July,20
2014/2015,2071/72,Mauritius,Jan.,3
2014/2015,2071/72,Mauritius,Feb.,2
2014/2015,2071/72,Mauritius,Mar.,8
2014/2015,2071/72,Mauritius,April,6
2014/2015,2071/72,Mauritius,May,5
2014/2015,2071/72,Mauritius,June,17
2014/2015,2071/72,Mauritius,July,5
2014/2015,2071/72,Mauritius,Aug.,6
2014/2015,2071/72,Myanmar,Jan.,1277
2014/2015,2071/72,Myanmar,Feb.,2497
2014/2015,2071/72,Myanmar,Mar.,3124
2014/2015,2071/72,Myanmar,April,1977
2014/2015,2071/72,Myanmar,May,54
2014/2015,2071/72,Myanmar,June,47
2014/2015,2071/72,Myanmar,July,112
2014/2015,2071/72,Myanmar,Aug.,140
2014/2015,2071/72,Myanmar,Sept.,114
2014/2015,2071/72,Myanmar,Oct.,2477
2014/2015,2071/72,Myanmar,Nov.,3816
2014/2015,2071/72,Myanmar,Dec.,3142
2014/2015,2071/72,Netherlands,Jan.,116
2014/2015,2071/72,Netherlands,Feb.,149
2014/2015,2071/72,Netherlands,Mar.,7
2014/2015,2071/72,Netherlands,April,11
2014/2015,2071/72,Netherlands,May,6
2014/2015,2071/72,Netherlands,June,5
2014/2015,2071/72,Netherlands,July,2
2014/2015,2071/72,Netherlands,Aug.,297
2014/2015,2071/72,Netherlands,Sept.,265
2014/2015,2071/72,Netherlands,Oct.,44
2014/2015,2071/72,New Zealand,Jan.,25
2014/2015,2071/72,New Zealand,Feb.,2
2014/2015,2071/72,New Zealand,Mar.,1
2014/2015,2071/72,New Zealand,April,2
2014/2015,2071/72,New Zealand,May,5
2014/2015,2071/72,New Zealand,June,28
2014/2015,2071/72,Nigeria,Jan.,1
2014/2015,2071/72,Nigeria,Feb.,5
2014/2015,2071/72,Nigeria,Mar.,9
2014/2015,2071/72,Nigeria,April,2
2014/2015,2071/72,Nigeria,May,2
2014/2015,2071/72,Nigeria,June,18
2014/2015,2071/72,Nigeria,July,3
2014/2015,2071/72,Norway,Jan.,5
2014/2015,2071/72,Norway,Feb.,6
2014/2015,2071/72,Norway,Mar.,1
2014/2015,2071/72,Norway,April,2
2014/2015,2071/72,Norway,May,7
2014/2015,2071/72,Norway,June,2
2014/2015,2071/72,Norway,July,1
2014/2015,2071/72,Norway,Aug.,2
2014/2015,2071/72,Pakistan,Jan.,8
2014/2015,2071/72,Pakistan,Feb.,1
2014/2015,2071/72,Pakistan,Mar.,3
2014/2015,2071/72,Pakistan,April,2
2014/2015,2071/72,Pakistan,May,2
2014/2015,2071/72,Pakistan,June,1
2014/2015,2071/72,Pakistan,July,6
2014/2015,2071/72,Pakistan,Aug.,22
2014/2015,2071/72,Philippines,Jan.,26
2014/2015,2071/72,Philippines,Feb.,119
2014/2015,2071/72,Philippines,Mar.,73
2014/2015,2071/72,Philippines,April,33
2014/2015,2071/72,Philippines,May,6
2014/2015,2071/72,Philippines,June,3
2014/2015,2071/72,Philippines,July,12
2014/2015,2071/72,Philippines,Aug.,25
2014/2015,2071/72,Philippines,Sept.,21
2014/2015,2071/72,Philippines,Oct.,6
2014/2015,2071/72,Philippines,Nov.,2
2014/2015,2071/72,Poland,Jan.,2
2014/2015,2071/72,Poland,Feb.,3
2014/2015,2071/72,Poland,Mar.,4
2014/2015,2071/72,Poland,April,65
2014/2015,2071/72,Poland,May,62
2014/2015,2071/72,Portugal,Jan.,7
2014/2015,2071/72,Portugal,Feb.,12
2014/2015,2071/72,Portugal,Mar.,30
2014/2015,2071/72,Portugal,April,12
2014/2015,2071/72,Portugal,May,35
2014/2015,2071/72,Portugal,June,7
2014/2015,2071/72,Portugal,July,3
2014/2015,2071/72,Romania,Jan.,105
2014/2015,2071/72,Romania,Feb.,22
2014/2015,2071/72,Romania,Mar.,120
2014/2015,2071/72,Romania,April,51
2014/2015,2071/72,Romania,May,52
2014/2015,2071/72,Romania,June,19
2014/2015,2071/72,Romania,July,21
2014/2015,2071/72,Romania,Aug.,24
2014/2015,2071/72,Romania,Sept.,36
2014/2015,2071/72,Romania,Oct.,4
2014/2015,2071/72,Romania,Nov.,2
2014/2015,2071/72,Russia,Jan.,2
2014/2015,2071/72,Russia,Feb.,2
2014/2015,2071/72,Russia,Mar.,2
2014/2015,2071/72,Russia,April,51
2014/2015,2071/72,Russia,May,36
2014/2015,2071/72,Russia,June,4
2014/2015,2071/72,Slovakia,Jan.,36
2014/2015,2071/72,Slovakia,Feb.,22
2014/2015,2071/72,Slovakia,Mar.,17
2014/2015,2071/72,Slovenia,Jan.,58
2014/2015,2071/72,Slovenia,Feb.,8
2014/2015,2071/72,Slovenia,Mar.,50
2014/2015,2071/72,Slovenia,April,27
2014/2015,2071/72,Slovenia,May,14
2014/2015,2071/72,Slovenia,June,59
2014/2015,2071/72,Slovenia,July,23
2014/2015,2071/72,Slovenia,Aug.,15
2014/2015,2071/72,Slovenia,Sept.,15
2014/2015,2071/72,Slovenia,Oct.,2
2014/2015,2071/72,Singapore,Jan.,22
2014/2015,2071/72,Singapore,Feb.,27
2014/2015,2071/72,Singapore,Mar.,26
2014/2015,2071/72,Singapore,April,33
2014/2015,2071/72,Singapore,May,57
2014/2015,2071/72,Singapore,June,18
2014/2015,2071/72,Singapore,July,66
2014/2015,2071/72,Singapore,Aug.,152
2014/2015,2071/72,Singapore,Sept.,62
2014/2015,2071/72,Singapore,Oct.,103
2014/2015,2071/72,Singapore,Nov.,143
2014/2015,2071/72,Singapore,Dec.,103
2014/2015,2071/72,Spain,Jan.,1771
2014/2015,2071/72,Spain,Feb.,711
2014/2015,2071/72,Spain,Mar.,841
2014/2015,2071/72,Spain,April,57
2014/2015,2071/72,Spain,May,77
2014/2015,2071/72,Spain,June,74
2014/2015,2071/72,Spain,July,63
2014/2015,2071/72,Spain,Aug.,163
2014/2015,2071/72,Spain,Sept.,38
2014/2015,2071/72,Spain,Oct.,102
2014/2015,2071/72,Spain,Nov.,106
2014/2015,2071/72,Spain,Dec.,39
2014/2015,2071/72,S. Korea,Jan.,3
2014/2015,2071/72,S. Korea,Feb.,1
2014/2015,2071/72,S. Korea,Mar.,10
2014/2015,2071/72,S. Korea,April,2
2014/2015,2071/72,S. Korea,May,11
2014/2015,2071/72,S. Korea,June,302
2014/2015,2071/72,S. Korea,July,650
2014/2015,2071/72,S. Korea,Aug.,404
2014/2015,2071/72,Sri Lanka,Jan.,51
2014/2015,2071/72,Sri Lanka,Feb.,3887
2014/2015,2071/72,Sri Lanka,Mar.,6216
2014/2015,2071/72,Sri Lanka,April,792
2014/2015,2071/72,Sri Lanka,May,203
2014/2015,2071/72,Sri Lanka,June,7
2014/2015,2071/72,Sri Lanka,July,549
2014/2015,2071/72,Sri Lanka,Aug.,10873
2014/2015,2071/72,Sri Lanka,Sept.,4800
2014/2015,2071/72,Sri Lanka,Oct.,5372
2014/2015,2071/72,Sri Lanka,Nov.,4396
2014/2015,2071/72,Sri Lanka,Dec.,454
2014/2015,2071/72,Sweden,Jan.,18
2014/2015,2071/72,Sweden,Feb.,34
2014/2015,2071/72,Sweden,Mar.,52
2014/2015,2071/72,Sweden,April,70
2014/2015,2071/72,Sweden,May,14
2014/2015,2071/72,Sweden,June,7
2014/2015,2071/72,Sweden,July,5
2014/2015,2071/72,Sweden,Aug.,6
2014/2015,2071/72,Sweden,Sept.,5
2014/2015,2071/72,Sweden,Oct.,2
2014/2015,2071/72,Switzerland,Jan.,2
2014/2015,2071/72,Switzerland,Feb.,46
2014/2015,2071/72,Switzerland,Mar.,32
2014/2015,2071/72,Switzerland,April,6
2014/2015,2071/72,Syria,Jan.,90
2014/2015,2071/72,Syria,Feb.,31
2014/2015,2071/72,Syria,Mar.,206
2014/2015,2071/72,Syria,April,44
2014/2015,2071/72,Syria,May,11
2014/2015,2071/72,Syria,June,25
2014/2015,2071/72,Syria,July,38
2014/2015,2071/72,Syria,Aug.,59
2014/2015,2071/72,Syria,Sept.,32
2014/2015,2071/72,Thailand,Jan.,1915
2014/2015,2071/72,Thailand,Feb.,5506
2014/2015,2071/72,Thailand,Mar.,4805
2014/2015,2071/72,Thailand,April,962
2014/2015,2071/72,Thailand,May,277
2014/2015,2071/72,Thailand,June,213
2014/2015,2071/72,Thailand,July,95
2014/2015,2071/72,Thailand,Aug.,336
2014/2015,2071/72,Thailand,Sept.,45
2014/2015,2071/72,Thailand,Oct.,2016
2014/2015,2071/72,Thailand,Nov.,4562
2014/2015,2071/72,Thailand,Dec.,4001
2014/2015,2071/72,Taiwan,Jan.,2
2014/2015,2071/72,Taiwan,Feb.,1
2014/2015,2071/72,Taiwan,Mar.,1
2014/2015,2071/72,Taiwan,April,1
2014/2015,2071/72,Taiwan,May,2
2014/2015,2071/72,Taiwan,June,5
2014/2015,2071/72,Taiwan,July,7
2014/2015,2071/72,Taiwan,Aug.,5
2014/2015,2071/72,Taiwan,Sept.,5
2014/2015,2071/72,Taiwan,Oct.,90
2014/2015,2071/72,Taiwan,Nov.,143
2014/2015,2071/72,Taiwan,Dec.,118
2014/2015,2071/72,Yugoslavia,Jan.,1
2014/2015,2071/72,Yugoslavia,Feb.,124
2014/2015,2071/72,Uruguay,Jan.,69
2014/2015,2071/72,Uruguay,Feb.,143
2014/2015,2071/72,Uruguay,Mar.,130
2014/2015,2071/72,Uruguay,April,173
2014/2015,2071/72,Uruguay,May,131
2014/2015,2071/72,Uruguay,June,44
2014/2015,2071/72,Uruguay,July,89
2014/2015,2071/72,Uruguay,Aug.,123
2014/2015,2071/72,Uruguay,Sept.,99
2014/2015,2071/72,Uruguay,Oct.,160
2014/2015,2071/72,U.K.,Jan.,136
2014/2015,2071/72,U.K.,Feb.,87
2014/2015,2071/72,U.K.,Mar.,138
2014/2015,2071/72,U.K.,April,201
2014/2015,2071/72,U.K.,May,117
2014/2015,2071/72,U.K.,June,5
2014/2015,2071/72,U.K.,July,64
2014/2015,2071/72,U.K.,Aug.,62
2014/2015,2071/72,U.K.,Sept.,113
2014/2015,2071/72,U.K.,Oct.,160
2014/2015,2071/72,U.K.,Nov.,236
2014/2015,2071/72,U.K.,Dec.,87
2014/2015,2071/72,U.S.A.,Jan.,798
2014/2015,2071/72,U.S.A.,Feb.,65
2014/2015,2071/72,U.S.A.,Mar.,112
2014/2015,2071/72,U.S.A.,April,6
2014/2015,2071/72,U.S.A.,May,48
2014/2015,2071/72,U.S.A.,June,33
2014/2015,2071/72,U.S.A.,July,259
2014/2015,2071/72,U.S.A.,Aug.,179
2014/2015,2071/72,U.S.A.,Sept.,320
2014/2015,2071/72,U.S.A.,Oct.,186
2014/2015,2071/72,Vietnam,Jan.,40
2014/2015,2071/72,Vietnam,Feb.,300
2014/2015,2071/72,Vietnam,Mar.,697
2014/2015,2071/72,Vietnam,April,597
2014/2015,2071/72,Vietnam,May,694
2014/2015,2071/72,Other,Jan.,41
2014/2015,2071/72,Other,Feb.,26
2014/2015,2071/72,Other,Mar.,72
2014/2015,2071/72,Other,April,36
2014/2015,2071/72,Other,May,10
2014/2015,2071/72,Other,June,14
2014/2015,2071/72,Other,July,9
2014/2015,2071/72,Other,Aug.,31
2014/2015,2071/72,Other,Sept.,68
2014/2015,2071/72,Other,Oct.,25
2014/2015,2071/72,Other,Nov.,22
2014/2015,2071/72,Other,Dec.,28
