Year AD,Year BS,Country,Month,No of visitors
2013/2014,2070/71,Germany,July,42
2013/2014,2070/71,Germany,Aug.,19
2013/2014,2070/71,Germany,Sept.,55
2013/2014,2070/71,Germany,Oct.,207
2013/2014,2070/71,Germany,Nov.,140
2013/2014,2070/71,Germany,Dec.,61
2013/2014,2070/71,Greece,Jan.,4
2013/2014,2070/71,Greece,Mar.,2
2013/2014,2070/71,Greece,May,1
2013/2014,2070/71,Greece,July,1
2013/2014,2070/71,Hongkong,Jan.,15
2013/2014,2070/71,Hongkong,Feb.,9
2013/2014,2070/71,Hongkong,Mar.,7
2013/2014,2070/71,Hongkong,April,32
2013/2014,2070/71,Hongkong,May,3
2013/2014,2070/71,Hongkong,June,1
2013/2014,2070/71,Hongkong,July,2
2013/2014,2070/71,Hongkong,Aug.,2
2013/2014,2070/71,Hongkong,Sept.,6
2013/2014,2070/71,Hongkong,Nov.,18
2013/2014,2070/71,Hongkong,Dec.,3
2013/2014,2070/71,Indonesia,Feb.,26
2013/2014,2070/71,Indonesia,Mar.,5
2013/2014,2070/71,Indonesia,April,11
2013/2014,2070/71,Indonesia,May,31
2013/2014,2070/71,Indonesia,July,25
2013/2014,2070/71,Indonesia,Aug.,117
2013/2014,2070/71,Indonesia,Sept.,70
2013/2014,2070/71,Indonesia,Oct.,51
2013/2014,2070/71,Indonesia,Nov.,99
2013/2014,2070/71,Indonesia,Dec.,48
2013/2014,2070/71,Irland,Jan.,3
2013/2014,2070/71,Irland,Feb.,8
2013/2014,2070/71,Irland,Mar.,2
2013/2014,2070/71,Irland,April,10
2013/2014,2070/71,Irland,May,5
2013/2014,2070/71,Irland,June,8
2013/2014,2070/71,Irland,July,1
2013/2014,2070/71,Irland,Aug.,4
2013/2014,2070/71,Irland,Sept.,6
2013/2014,2070/71,Irland,Oct.,1
2013/2014,2070/71,Irland,Nov.,1
2013/2014,2070/71,Irland,Dec.,9
2013/2014,2070/71,Israel,Mar.,13
2013/2014,2070/71,Israel,April,10
2013/2014,2070/71,Israel,May,9
2013/2014,2070/71,Israel,June,16
2013/2014,2070/71,Israel,July,2
2013/2014,2070/71,Israel,Sept.,2
2013/2014,2070/71,Israel,Oct.,5
2013/2014,2070/71,Israel,Nov.,3
2013/2014,2070/71,Israel,Dec.,2
2013/2014,2070/71,Italy,Jan.,22
2013/2014,2070/71,Italy,Feb.,46
2013/2014,2070/71,Italy,Mar.,37
2013/2014,2070/71,Italy,April,49
2013/2014,2070/71,Italy,May,16
2013/2014,2070/71,Italy,June,22
2013/2014,2070/71,Italy,July,10
2013/2014,2070/71,Italy,Aug.,66
2013/2014,2070/71,Italy,Sept.,8
2013/2014,2070/71,Italy,Oct.,13
2013/2014,2070/71,Italy,Nov.,28
2013/2014,2070/71,Italy,Dec.,36
2013/2014,2070/71,Japan,Jan.,136
2013/2014,2070/71,Japan,Feb.,505
2013/2014,2070/71,Japan,Mar.,399
2013/2014,2070/71,Japan,April,53
2013/2014,2070/71,Japan,May,82
2013/2014,2070/71,Japan,June,29
2013/2014,2070/71,Japan,July,58
2013/2014,2070/71,Japan,Aug.,95
2013/2014,2070/71,Japan,Sept.,157
2013/2014,2070/71,Japan,Oct.,200
2013/2014,2070/71,Japan,Nov.,321
2013/2014,2070/71,Japan,Dec.,221
2013/2014,2070/71,Malaysia,Jan.,71
2013/2014,2070/71,Malaysia,Feb.,81
2013/2014,2070/71,Malaysia,Mar.,143
2013/2014,2070/71,Malaysia,April,36
2013/2014,2070/71,Malaysia,May,80
2013/2014,2070/71,Malaysia,June,100
2013/2014,2070/71,Malaysia,July,18
2013/2014,2070/71,Malaysia,Aug.,37
2013/2014,2070/71,Malaysia,Sept.,86
2013/2014,2070/71,Malaysia,Oct.,140
2013/2014,2070/71,Malaysia,Nov.,257
2013/2014,2070/71,Malaysia,Dec.,428
2013/2014,2070/71,Mexico,Jan.,40
2013/2014,2070/71,Mexico,Mar.,6
2013/2014,2070/71,Mexico,April,4
2013/2014,2070/71,Mexico,May,7
