Year AD,Year BS,Month,Crime,Number of tourist
2013,2070,Jun.,Lost/Missing,38
2014,2071,Jun.,Lost/Missing,38
2009,2066,Jun.,Others,2
2010,2067,Jun.,Others,0
2011,2068,Jun.,Others,1
2012,2069,Jun.,Others,2
2013,2070,Jun.,Others,3
2014,2071,Jun.,Others,6
2009,2066,Jun.,Theft/Robbery,37
2010,2067,Jun.,Theft/Robbery,21
2011,2068,Jun.,Theft/Robbery,9
2012,2069,Jun.,Theft/Robbery,19
2013,2070,Jun.,Theft/Robbery,15
2014,2071,Jun.,Theft/Robbery,19
2009,2066,Mar.,Cheating/ Froud,1
2010,2067,Mar.,Cheating/ Froud,0
2011,2068,Mar.,Cheating/ Froud,1
2012,2069,Mar.,Cheating/ Froud,3
2013,2070,Mar.,Cheating/ Froud,4
2014,2071,Mar.,Cheating/ Froud,3
2009,2066,Mar.,Lost/Missing,12
2010,2067,Mar.,Lost/Missing,32
2011,2068,Mar.,Lost/Missing,19
2012,2069,Mar.,Lost/Missing,33
2013,2070,Mar.,Lost/Missing,31
2014,2071,Mar.,Lost/Missing,36
2009,2066,Mar.,Others,3
2010,2067,Mar.,Others,0
2011,2068,Mar.,Others,1
2012,2069,Mar.,Others,2
2013,2070,Mar.,Others,8
2014,2071,Mar.,Others,5
2009,2066,Mar.,Theft/Robbery,10
2010,2067,Mar.,Theft/Robbery,20
2011,2068,Mar.,Theft/Robbery,15
2012,2069,Mar.,Theft/Robbery,20
2013,2070,Mar.,Theft/Robbery,21
2014,2071,Mar.,Theft/Robbery,16
2009,2066,May,Cheating/ Froud,0
2010,2067,May,Cheating/ Froud,0
2011,2068,May,Cheating/ Froud,1
2012,2069,May,Cheating/ Froud,3
2013,2070,May,Cheating/ Froud,1
2014,2071,May,Cheating/ Froud,5
2009,2066,May,Lost/Missing,21
2010,2067,May,Lost/Missing,27
2011,2068,May,Lost/Missing,19
2012,2069,May,Lost/Missing,31
2013,2070,May,Lost/Missing,37
2014,2071,May,Lost/Missing,52
2009,2066,May,Others,0
2010,2067,May,Others,0
2011,2068,May,Others,1
2012,2069,May,Others,2
2013,2070,May,Others,13
2014,2071,May,Others,10
2009,2066,May,Theft/Robbery,38
2010,2067,May,Theft/Robbery,25
2011,2068,May,Theft/Robbery,30
2012,2069,May,Theft/Robbery,33
2013,2070,May,Theft/Robbery,33
2014,2071,May,Theft/Robbery,19
2009,2066,Nov.,Cheating/ Froud,1
2010,2067,Nov.,Cheating/ Froud,5
2011,2068,Nov.,Cheating/ Froud,2
2012,2069,Nov.,Cheating/ Froud,2
2013,2070,Nov.,Cheating/ Froud,6
2014,2071,Nov.,Cheating/ Froud,3
2009,2066,Nov.,Lost/Missing,46
2010,2067,Nov.,Lost/Missing,28
2011,2068,Nov.,Lost/Missing,44
2012,2069,Nov.,Lost/Missing,49
2013,2070,Nov.,Lost/Missing,41
2014,2071,Nov.,Lost/Missing,75
2009,2066,Nov.,Others,3
2010,2067,Nov.,Others,2
