Year,Airline,Country,No of tourist
2012,Thai Airlines,Spain,213
2012,Thai Airlines,Sri Lanka,383
2012,Thai Airlines,Sweden,162
2012,Thai Airlines,Switzerland,390
2012,Thai Airlines,Thailand,4952
2012,Thai Airlines,Turkey,14
2012,Thai Airlines,Ukraine,48
2012,Thai Airlines,UK,1509
2012,Thai Airlines,USA,4753
2012,Thai Airlines,Vietnam,550
2012,Thai Airlines,Taiwan,1508
2012,Thai Airlines,Others,1202
2012,Thai Airlines,Not Sp,105
2012,Qatar Airlines,Afghanistan,25
2012,Qatar Airlines,Argentina,85
2012,Qatar Airlines,Australia,479
2012,Qatar Airlines,Austria,723
2012,Qatar Airlines,Bangladesh,65
2012,Qatar Airlines,Belgium,1388
2012,Qatar Airlines,Bhutan,108
2012,Qatar Airlines,Brazil,213
2012,Qatar Airlines,Bulgaria,86
2012,Qatar Airlines,Cambodia,11
2012,Qatar Airlines,Canada,1438
2012,Qatar Airlines,China,407
2012,Qatar Airlines,Czech Republic,139
2012,Qatar Airlines,Denmark,2094
2012,Qatar Airlines,Finland,209
2012,Qatar Airlines,France,6846
2012,Qatar Airlines,Germany,5804
2012,Qatar Airlines,Greece,147
2012,Qatar Airlines,India,1248
2012,Qatar Airlines,Indonesia,50
2012,Qatar Airlines,Ireland,183
2012,Qatar Airlines,Israel,251
2012,Qatar Airlines,Italy,3633
2012,Qatar Airlines,Japan,121
2012,Qatar Airlines,Malaysia,75
2012,Qatar Airlines,Mexico,41
2012,Qatar Airlines,Myanmar,37
2012,Qatar Airlines,Netherland,3046
2012,Qatar Airlines,New Zealand,92
2012,Qatar Airlines,Norway,965
2012,Qatar Airlines,Pakistan,429
2012,Qatar Airlines,Philippines,119
2012,Qatar Airlines,Poland,1088
2012,Qatar Airlines,Portugal,150
2012,Qatar Airlines,Republic of Korea,129
2012,Qatar Airlines,Romania,144
2012,Qatar Airlines,Russian Federation,1429
2012,Qatar Airlines,Saudi Arabia,174
2012,Qatar Airlines,Singapore,28
2012,Qatar Airlines,Slovakia,212
2012,Qatar Airlines,South Africa,254
2012,Qatar Airlines,Spain,3458
2012,Qatar Airlines,Sri Lanka,258
2012,Qatar Airlines,Sweden,1103
2012,Qatar Airlines,Switzerland,1799
2012,Qatar Airlines,Thailand,26
2012,Qatar Airlines,Turkey,195
2012,Qatar Airlines,Ukraine,55
2012,Qatar Airlines,UK,7788
2012,Qatar Airlines,USA,6159
2012,Qatar Airlines,Vietnam,10
2012,Qatar Airlines,Taiwan,16
2012,Qatar Airlines,Others,2858
2012,Qatar Airlines,Not Sp,135
2012,Gulf Air,Afghanistan,28
2012,Gulf Air,Argentina,3
2012,Gulf Air,Australia,71
2012,Gulf Air,Austria,26
2012,Gulf Air,Bangladesh,16
2012,Gulf Air,Belgium,101
2012,Gulf Air,Bhutan,58
2012,Gulf Air,Brazil,10
2012,Gulf Air,Bulgaria,2
2012,Gulf Air,Cambodia,2
2012,Gulf Air,Canada,226
2012,Gulf Air,China,69
2012,Gulf Air,Czech Republic,9
2012,Gulf Air,Denmark,1248
2012,Gulf Air,Finland,50
2012,Gulf Air,France,1487
2012,Gulf Air,Germany,826
2012,Gulf Air,Greece,47
2012,Gulf Air,India,589
2012,Gulf Air,Indonesia,1
2012,Gulf Air,Ireland,62
2012,Gulf Air,Israel,121
2012,Gulf Air,Italy,91
2012,Gulf Air,Japan,22
2012,Gulf Air,Malaysia,51
2012,Gulf Air,Mexico,8
2012,Gulf Air,Myanmar,0
2012,Gulf Air,Netherland,114
2012,Gulf Air,New Zealand,15
2012,Gulf Air,Norway,142
2012,Gulf Air,Pakistan,88
2012,Gulf Air,Philippines,36
2012,Gulf Air,Poland,16
2012,Gulf Air,Portugal,29
2012,Gulf Air,Republic of Korea,37
2012,Gulf Air,Romania,15
2012,Gulf Air,Russian Federation,34
2012,Gulf Air,Saudi Arabia,219
2012,Gulf Air,Singapore,9
2012,Gulf Air,Slovakia,14
2012,Gulf Air,South Africa,8
2012,Gulf Air,Spain,122
2012,Gulf Air,Sri Lanka,30
2012,Gulf Air,Sweden,134
2012,Gulf Air,Switzerland,63
2012,Gulf Air,Thailand,3
2012,Gulf Air,Turkey,26
2012,Gulf Air,Ukraine,8
2012,Gulf Air,UK,1800
2012,Gulf Air,USA,2277
2012,Gulf Air,Vietnam,10
2012,Gulf Air,Taiwan,2
2012,Gulf Air,Others,848
2012,Gulf Air,Not Sp,57
2012,Biman Bangladesh,Afghanistan,6
2012,Biman Bangladesh,Argentina,12
2012,Biman Bangladesh,Australia,183
2012,Biman Bangladesh,Austria,10
2012,Biman Bangladesh,Bangladesh,13965
2012,Biman Bangladesh,Belgium,25
2012,Biman Bangladesh,Bhutan,16
2012,Biman Bangladesh,Brazil,2
2012,Biman Bangladesh,Bulgaria,18
2012,Biman Bangladesh,Cambodia,0
2012,Biman Bangladesh,Canada,241
2012,Biman Bangladesh,China,269
2012,Biman Bangladesh,Czech Republic,4
2012,Biman Bangladesh,Denmark,68
2012,Biman Bangladesh,Finland,43
2012,Biman Bangladesh,France,105
2012,Biman Bangladesh,Germany,198
2012,Biman Bangladesh,Greece,5
2012,Biman Bangladesh,India,294
2012,Biman Bangladesh,Indonesia,38
2012,Biman Bangladesh,Ireland,19
2012,Biman Bangladesh,Israel,12
2012,Biman Bangladesh,Italy,74
2012,Biman Bangladesh,Japan,254
2012,Biman Bangladesh,Malaysia,65
2012,Biman Bangladesh,Mexico,13
2012,Biman Bangladesh,Myanmar,4
2012,Biman Bangladesh,Netherland,50
2012,Biman Bangladesh,New Zealand,14
2012,Biman Bangladesh,Norway,29
2012,Biman Bangladesh,Pakistan,381
2012,Biman Bangladesh,Philippines,44
2012,Biman Bangladesh,Poland,6
2012,Biman Bangladesh,Portugal,8
2012,Biman Bangladesh,Republic of Korea,159
2012,Biman Bangladesh,Romania,2
2012,Biman Bangladesh,Russian Federation,25
2012,Biman Bangladesh,Saudi Arabia,31
2012,Biman Bangladesh,Singapore,9
2012,Biman Bangladesh,Slovakia,1
2012,Biman Bangladesh,South Africa,5
2012,Biman Bangladesh,Spain,52
2012,Biman Bangladesh,Sri Lanka,60
2012,Biman Bangladesh,Sweden,96
2012,Biman Bangladesh,Switzerland,58
2012,Biman Bangladesh,Thailand,17
2012,Biman Bangladesh,Turkey,23
2012,Biman Bangladesh,Ukraine,3
2012,Biman Bangladesh,UK,294
2012,Biman Bangladesh,USA,767
2012,Biman Bangladesh,Vietnam,0
2012,Biman Bangladesh,Taiwan,30
2012,Biman Bangladesh,Others,178
2012,Biman Bangladesh,Not Sp,49
2012,Silk Air,Afghanistan,24
2012,Silk Air,Argentina,4
2012,Silk Air,Australia,4387
2012,Silk Air,Austria,31
2012,Silk Air,Bangladesh,12
2012,Silk Air,Belgium,24
2012,Silk Air,Bhutan,43
2012,Silk Air,Brazil,17
2012,Silk Air,Bulgaria,4
2012,Silk Air,Cambodia,1
2012,Silk Air,Canada,130
2012,Silk Air,China,157
2012,Silk Air,Czech Republic,3
2012,Silk Air,Denmark,15
2012,Silk Air,Finland,13
2012,Silk Air,France,112
2012,Silk Air,Germany,115
2012,Silk Air,Greece,5
2012,Silk Air,India,238
2012,Silk Air,Indonesia,150
2012,Silk Air,Ireland,25
2012,Silk Air,Israel,48
2012,Silk Air,Italy,10
2012,Silk Air,Japan,976
2012,Silk Air,Malaysia,511
2012,Silk Air,Mexico,5
2012,Silk Air,Myanmar,2
2012,Silk Air,Netherland,128
2012,Silk Air,New Zealand,689
2012,Silk Air,Norway,13
2012,Silk Air,Pakistan,24
2012,Silk Air,Philippines,46
2012,Silk Air,Poland,17
2012,Silk Air,Portugal,3
2012,Silk Air,Republic of Korea,145
2012,Silk Air,Romania,5
2012,Silk Air,Russian Federation,17
2012,Silk Air,Saudi Arabia,1
2012,Silk Air,Singapore,2066
2012,Silk Air,Slovakia,4
2012,Silk Air,South Africa,15
2012,Silk Air,Spain,24
2012,Silk Air,Sri Lanka,56
2012,Silk Air,Sweden,10
2012,Silk Air,Switzerland,40
2012,Silk Air,Thailand,20
2012,Silk Air,Turkey,0
2012,Silk Air,Ukraine,26
2012,Silk Air,UK,489
2012,Silk Air,USA,1938
2012,Silk Air,Vietnam,8
2012,Silk Air,Taiwan,88
2012,Silk Air,Others,259
2012,Silk Air,Not Sp,19
2012,Druk Air,Afghanistan,8
2012,Druk Air,Argentina,22
2012,Druk Air,Australia,374
2012,Druk Air,Austria,107
2012,Druk Air,Bangladesh,69
2012,Druk Air,Belgium,162
2012,Druk Air,Bhutan,2597
2012,Druk Air,Brazil,89
2012,Druk Air,Bulgaria,12
2012,Druk Air,Cambodia,4
2012,Druk Air,Canada,257
2012,Druk Air,China,1864
2012,Druk Air,Czech Republic,114
2012,Druk Air,Denmark,102
2012,Druk Air,Finland,32
2012,Druk Air,France,393
2012,Druk Air,Germany,765
2012,Druk Air,Greece,5
2012,Druk Air,India,295
2012,Druk Air,Indonesia,9
2012,Druk Air,Ireland,22
2012,Druk Air,Israel,62
2012,Druk Air,Italy,231
2012,Druk Air,Japan,316
2012,Druk Air,Malaysia,854
2012,Druk Air,Mexico,56
2012,Druk Air,Myanmar,3
2012,Druk Air,Netherland,240
2012,Druk Air,New Zealand,36
2012,Druk Air,Norway,40
2012,Druk Air,Pakistan,48
2012,Druk Air,Philippines,90
2012,Druk Air,Poland,50
2012,Druk Air,Portugal,31
2012,Druk Air,Republic of Korea,206
2012,Druk Air,Romania,32
2012,Druk Air,Russian Federation,145
2012,Druk Air,Saudi Arabia,2
2012,Druk Air,Singapore,65
2012,Druk Air,Slovakia,17
2012,Druk Air,South Africa,25
2012,Druk Air,Spain,352
2012,Druk Air,Sri Lanka,9
2012,Druk Air,Sweden,42
2012,Druk Air,Switzerland,117
2012,Druk Air,Thailand,19
2012,Druk Air,Turkey,75
2012,Druk Air,Ukraine,0
2012,Druk Air,UK,736
2012,Druk Air,USA,1047
2012,Druk Air,Vietnam,0
2012,Druk Air,Taiwan,198
2012,Druk Air,Others,157
2012,Druk Air,Not Sp,55
2012,Pakisthan Int'l Airlines,Afghanistan,3
2012,Pakisthan Int'l Airlines,Argentina,0
2012,Pakisthan Int'l Airlines,Australia,3
2012,Pakisthan Int'l Airlines,Austria,1
2012,Pakisthan Int'l Airlines,Bangladesh,2
2012,Pakisthan Int'l Airlines,Belgium,3
2012,Pakisthan Int'l Airlines,Bhutan,11
2012,Pakisthan Int'l Airlines,Brazil,0
2012,Pakisthan Int'l Airlines,Bulgaria,0
2012,Pakisthan Int'l Airlines,Cambodia,0
2012,Pakisthan Int'l Airlines,Canada,33
2012,Pakisthan Int'l Airlines,China,46
2012,Pakisthan Int'l Airlines,Czech Republic,2
2012,Pakisthan Int'l Airlines,Denmark,1
2012,Pakisthan Int'l Airlines,Finland,1
2012,Pakisthan Int'l Airlines,France,13
2012,Pakisthan Int'l Airlines,Germany,16
2012,Pakisthan Int'l Airlines,Greece,1
2012,Pakisthan Int'l Airlines,India,13
2012,Pakisthan Int'l Airlines,Indonesia,0
2012,Pakisthan Int'l Airlines,Ireland,1
2012,Pakisthan Int'l Airlines,Israel,0
2012,Pakisthan Int'l Airlines,Italy,3
2012,Pakisthan Int'l Airlines,Japan,10
2012,Pakisthan Int'l Airlines,Malaysia,3
2012,Pakisthan Int'l Airlines,Mexico,0
2012,Pakisthan Int'l Airlines,Myanmar,0
2012,Pakisthan Int'l Airlines,Netherland,6
2012,Pakisthan Int'l Airlines,New Zealand,2
2012,Pakisthan Int'l Airlines,Norway,0
2012,Pakisthan Int'l Airlines,Pakistan,3097
2012,Pakisthan Int'l Airlines,Philippines,3
2012,Pakisthan Int'l Airlines,Poland,6
2012,Pakisthan Int'l Airlines,Portugal,0
2012,Pakisthan Int'l Airlines,Republic of Korea,20
2012,Pakisthan Int'l Airlines,Romania,0
2012,Pakisthan Int'l Airlines,Russian Federation,2
2012,Pakisthan Int'l Airlines,Saudi Arabia,2
2012,Pakisthan Int'l Airlines,Singapore,3
