Year,Airline,Country,No of tourist
2012,Air Arabia,Afghanistan,24
2012,Air Arabia,Argentina,6
2012,Air Arabia,Australia,67
2012,Air Arabia,Austria,9
2012,Air Arabia,Bangladesh,61
2012,Air Arabia,Belgium,40
2012,Air Arabia,Bhutan,12
2012,Air Arabia,Brazil,8
2012,Air Arabia,Bulgaria,149
2012,Air Arabia,Cambodia,3
2012,Air Arabia,Canada,60
2012,Air Arabia,China,24
2012,Air Arabia,Czech Republic,4
2012,Air Arabia,Denmark,10
2012,Air Arabia,Finland,11
2012,Air Arabia,France,107
2012,Air Arabia,Germany,78
2012,Air Arabia,Greece,13
2012,Air Arabia,India,1842
2012,Air Arabia,Indonesia,1
2012,Air Arabia,Ireland,28
2012,Air Arabia,Israel,22
2012,Air Arabia,Italy,31
2012,Air Arabia,Japan,30
2012,Air Arabia,Malaysia,3
2012,Air Arabia,Mexico,2
2012,Air Arabia,Myanmar,11
2012,Air Arabia,Netherland,226
2012,Air Arabia,New Zealand,14
2012,Air Arabia,Norway,5
2012,Air Arabia,Pakistan,133
2012,Air Arabia,Philippines,67
2012,Air Arabia,Poland,72
2012,Air Arabia,Portugal,17
2012,Air Arabia,Republic of Korea,45
2012,Air Arabia,Romania,118
2012,Air Arabia,Russian Federation,302
2012,Air Arabia,Saudi Arabia,73
2012,Air Arabia,Singapore,11
2012,Air Arabia,Slovakia,18
2012,Air Arabia,South Africa,28
2012,Air Arabia,Spain,90
2012,Air Arabia,Sri Lanka,38
2012,Air Arabia,Sweden,17
2012,Air Arabia,Switzerland,17
2012,Air Arabia,Thailand,4
2012,Air Arabia,Turkey,386
2012,Air Arabia,Ukraine,458
2012,Air Arabia,UK,328
2012,Air Arabia,USA,122
2012,Air Arabia,Vietnam,2
2012,Air Arabia,Taiwan,5
2012,Air Arabia,Others,669
2012,Air Arabia,Not Sp,54
2012,Baharain Air,Afghanistan,0
2012,Baharain Air,Argentina,0
2012,Baharain Air,Australia,3
2012,Baharain Air,Austria,0
2012,Baharain Air,Bangladesh,1
2012,Baharain Air,Belgium,0
2012,Baharain Air,Bhutan,0
2012,Baharain Air,Brazil,0
2012,Baharain Air,Bulgaria,0
2012,Baharain Air,Cambodia,0
2012,Baharain Air,Canada,10
2012,Baharain Air,China,0
2012,Baharain Air,Czech Republic,0
2012,Baharain Air,Denmark,0
2012,Baharain Air,Finland,0
2012,Baharain Air,France,4
2012,Baharain Air,Germany,0
2012,Baharain Air,Greece,0
2012,Baharain Air,India,14
2012,Baharain Air,Indonesia,0
2012,Baharain Air,Ireland,0
2012,Baharain Air,Israel,0
2012,Baharain Air,Italy,0
2012,Baharain Air,Japan,0
2012,Baharain Air,Malaysia,0
2012,Baharain Air,Mexico,3
2012,Baharain Air,Myanmar,0
2012,Baharain Air,Netherland,2
2012,Baharain Air,New Zealand,0
2012,Baharain Air,Norway,0
2012,Baharain Air,Pakistan,0
2012,Baharain Air,Philippines,1
2012,Baharain Air,Poland,0
2012,Baharain Air,Portugal,0
2012,Baharain Air,Republic of Korea,1
2012,Baharain Air,Romania,0
2012,Baharain Air,Russian Federation,0
2012,Baharain Air,Saudi Arabia,1
2012,Baharain Air,Singapore,0
2012,Baharain Air,Slovakia,2
2012,Baharain Air,South Africa,0
2012,Baharain Air,Spain,0
2012,Baharain Air,Sri Lanka,0
2012,Baharain Air,Sweden,0
2012,Baharain Air,Switzerland,0
2012,Baharain Air,Thailand,0
2012,Baharain Air,Turkey,0
2012,Baharain Air,Ukraine,0
2012,Baharain Air,UK,1
2012,Baharain Air,USA,22
2012,Baharain Air,Vietnam,0
2012,Baharain Air,Taiwan,0
2012,Baharain Air,Others,12
2012,Baharain Air,Not Sp,3
2012,China Eastern Airlines,Afghanistan,0
2012,China Eastern Airlines,Argentina,6
2012,China Eastern Airlines,Australia,92
2012,China Eastern Airlines,Austria,18
2012,China Eastern Airlines,Bangladesh,7
2012,China Eastern Airlines,Belgium,23
2012,China Eastern Airlines,Bhutan,2
2012,China Eastern Airlines,Brazil,7
2012,China Eastern Airlines,Bulgaria,3
2012,China Eastern Airlines,Cambodia,2
2012,China Eastern Airlines,Canada,119
2012,China Eastern Airlines,China,13278
2012,China Eastern Airlines,Czech Republic,21
2012,China Eastern Airlines,Denmark,33
2012,China Eastern Airlines,Finland,19
2012,China Eastern Airlines,France,108
2012,China Eastern Airlines,Germany,103
2012,China Eastern Airlines,Greece,5
2012,China Eastern Airlines,India,93
2012,China Eastern Airlines,Indonesia,6
2012,China Eastern Airlines,Ireland,5
2012,China Eastern Airlines,Israel,51
2012,China Eastern Airlines,Italy,39
2012,China Eastern Airlines,Japan,810
2012,China Eastern Airlines,Malaysia,3
2012,China Eastern Airlines,Mexico,15
2012,China Eastern Airlines,Myanmar,0
2012,China Eastern Airlines,Netherland,89
2012,China Eastern Airlines,New Zealand,18
2012,China Eastern Airlines,Norway,8
2012,China Eastern Airlines,Pakistan,2
2012,China Eastern Airlines,Philippines,0
2012,China Eastern Airlines,Poland,11
2012,China Eastern Airlines,Portugal,9
2012,China Eastern Airlines,Republic of Korea,49
2012,China Eastern Airlines,Romania,0
2012,China Eastern Airlines,Russian Federation,56
2012,China Eastern Airlines,Saudi Arabia,2
2012,China Eastern Airlines,Singapore,10
2012,China Eastern Airlines,Slovakia,6
2012,China Eastern Airlines,South Africa,8
2012,China Eastern Airlines,Spain,48
2012,China Eastern Airlines,Sri Lanka,2
2012,China Eastern Airlines,Sweden,33
2012,China Eastern Airlines,Switzerland,36
2012,China Eastern Airlines,Thailand,2
2012,China Eastern Airlines,Turkey,1
2012,China Eastern Airlines,Ukraine,1
2012,China Eastern Airlines,UK,85
2012,China Eastern Airlines,USA,370
2012,China Eastern Airlines,Vietnam,1
2012,China Eastern Airlines,Taiwan,85
2012,China Eastern Airlines,Others,103
2012,China Eastern Airlines,Not Sp,68
2012,China Southern Airlines,Afghanistan,2
2012,China Southern Airlines,Argentina,1
2012,China Southern Airlines,Australia,1260
2012,China Southern Airlines,Austria,8
2012,China Southern Airlines,Bangladesh,10
2012,China Southern Airlines,Belgium,8
2012,China Southern Airlines,Bhutan,13
2012,China Southern Airlines,Brazil,17
2012,China Southern Airlines,Bulgaria,5
2012,China Southern Airlines,Cambodia,1
2012,China Southern Airlines,Canada,387
2012,China Southern Airlines,China,4227
2012,China Southern Airlines,Czech Republic,24
2012,China Southern Airlines,Denmark,17
2012,China Southern Airlines,Finland,23
2012,China Southern Airlines,France,83
2012,China Southern Airlines,Germany,76
2012,China Southern Airlines,Greece,2
2012,China Southern Airlines,India,696
2012,China Southern Airlines,Indonesia,8
2012,China Southern Airlines,Ireland,13
2012,China Southern Airlines,Israel,21
2012,China Southern Airlines,Italy,34
2012,China Southern Airlines,Japan,2936
2012,China Southern Airlines,Malaysia,14
2012,China Southern Airlines,Mexico,12
2012,China Southern Airlines,Myanmar,4
2012,China Southern Airlines,Netherland,47
2012,China Southern Airlines,New Zealand,89
2012,China Southern Airlines,Norway,15
2012,China Southern Airlines,Pakistan,4
2012,China Southern Airlines,Philippines,32
2012,China Southern Airlines,Poland,10
2012,China Southern Airlines,Portugal,5
2012,China Southern Airlines,Republic of Korea,1000
2012,China Southern Airlines,Romania,5
2012,China Southern Airlines,Russian Federation,76
2012,China Southern Airlines,Saudi Arabia,9
2012,China Southern Airlines,Singapore,8
2012,China Southern Airlines,Slovakia,5
2012,China Southern Airlines,South Africa,2
2012,China Southern Airlines,Spain,45
2012,China Southern Airlines,Sri Lanka,2
2012,China Southern Airlines,Sweden,35
2012,China Southern Airlines,Switzerland,17
2012,China Southern Airlines,Thailand,0
2012,China Southern Airlines,Turkey,3
2012,China Southern Airlines,Ukraine,4
2012,China Southern Airlines,UK,148
2012,China Southern Airlines,USA,637
2012,China Southern Airlines,Vietnam,41
2012,China Southern Airlines,Taiwan,864
2012,China Southern Airlines,Others,129
2012,China Southern Airlines,Not Sp,47
2012,Dragon Air,Afghanistan,4
2012,Dragon Air,Argentina,11
2012,Dragon Air,Australia,1836
2012,Dragon Air,Austria,15
2012,Dragon Air,Bangladesh,7
2012,Dragon Air,Belgium,38
2012,Dragon Air,Bhutan,42
2012,Dragon Air,Brazil,13
2012,Dragon Air,Bulgaria,3
2012,Dragon Air,Cambodia,13
2012,Dragon Air,Canada,1633
2012,Dragon Air,China,7928
2012,Dragon Air,Czech Republic,6
2012,Dragon Air,Denmark,18
2012,Dragon Air,Finland,36
2012,Dragon Air,France,244
2012,Dragon Air,Germany,186
2012,Dragon Air,Greece,5
2012,Dragon Air,India,430
2012,Dragon Air,Indonesia,54
2012,Dragon Air,Ireland,40
2012,Dragon Air,Israel,166
2012,Dragon Air,Italy,89
2012,Dragon Air,Japan,4771
2012,Dragon Air,Malaysia,301
2012,Dragon Air,Mexico,33
2012,Dragon Air,Myanmar,13
2012,Dragon Air,Netherland,76
2012,Dragon Air,New Zealand,203
2012,Dragon Air,Norway,43
2012,Dragon Air,Pakistan,8
2012,Dragon Air,Philippines,256
2012,Dragon Air,Poland,11
2012,Dragon Air,Portugal,18
2012,Dragon Air,Republic of Korea,817
2012,Dragon Air,Romania,36
2012,Dragon Air,Russian Federation,31
2012,Dragon Air,Saudi Arabia,17
2012,Dragon Air,Singapore,45
2012,Dragon Air,Slovakia,12
2012,Dragon Air,South Africa,11
2012,Dragon Air,Spain,44
2012,Dragon Air,Sri Lanka,10
2012,Dragon Air,Sweden,57
2012,Dragon Air,Switzerland,38
2012,Dragon Air,Thailand,17
2012,Dragon Air,Turkey,4
2012,Dragon Air,Ukraine,2
2012,Dragon Air,UK,742
2012,Dragon Air,USA,3030
2012,Dragon Air,Vietnam,19
2012,Dragon Air,Taiwan,3506
2012,Dragon Air,Others,325
2012,Dragon Air,Not Sp,106
2012,Fly Dubai,Afghanistan,39
2012,Fly Dubai,Argentina,19
2012,Fly Dubai,Australia,217
2012,Fly Dubai,Austria,36
2012,Fly Dubai,Bangladesh,29
2012,Fly Dubai,Belgium,43
2012,Fly Dubai,Bhutan,27
2012,Fly Dubai,Brazil,45
2012,Fly Dubai,Bulgaria,15
2012,Fly Dubai,Cambodia,8
2012,Fly Dubai,Canada,208
2012,Fly Dubai,China,106
2012,Fly Dubai,Czech Republic,126
2012,Fly Dubai,Denmark,46
2012,Fly Dubai,Finland,22
2012,Fly Dubai,France,230
2012,Fly Dubai,Germany,597
2012,Fly Dubai,Greece,6
2012,Fly Dubai,India,1248
2012,Fly Dubai,Indonesia,9
2012,Fly Dubai,Ireland,70
2012,Fly Dubai,Israel,52
2012,Fly Dubai,Italy,221
2012,Fly Dubai,Japan,73
2012,Fly Dubai,Malaysia,55
2012,Fly Dubai,Mexico,10
2012,Fly Dubai,Myanmar,15
2012,Fly Dubai,Netherland,152
2012,Fly Dubai,New Zealand,113
2012,Fly Dubai,Norway,29
2012,Fly Dubai,Pakistan,169
2012,Fly Dubai,Philippines,139
2012,Fly Dubai,Poland,60
2012,Fly Dubai,Portugal,40
2012,Fly Dubai,Republic of Korea,49
2012,Fly Dubai,Romania,69
2012,Fly Dubai,Russian Federation,758
2012,Fly Dubai,Saudi Arabia,63
2012,Fly Dubai,Singapore,18
2012,Fly Dubai,Slovakia,16
2012,Fly Dubai,South Africa,321
2012,Fly Dubai,Spain,160
2012,Fly Dubai,Sri Lanka,15
2012,Fly Dubai,Sweden,68
2012,Fly Dubai,Switzerland,44
2012,Fly Dubai,Thailand,10
2012,Fly Dubai,Turkey,21
2012,Fly Dubai,Ukraine,307
2012,Fly Dubai,UK,1208
2012,Fly Dubai,USA,1665
2012,Fly Dubai,Vietnam,5
2012,Fly Dubai,Taiwan,12
2012,Fly Dubai,Others,899
2012,Fly Dubai,Not Sp,70
2012,King Fisher,Afghanistan,6
2012,King Fisher,Argentina,0
2012,King Fisher,Australia,47
2012,King Fisher,Austria,12
2012,King Fisher,Bangladesh,7
2012,King Fisher,Belgium,18
2012,King Fisher,Bhutan,1
2012,King Fisher,Brazil,10
2012,King Fisher,Bulgaria,0
2012,King Fisher,Cambodia,0
2012,King Fisher,Canada,41
2012,King Fisher,China,165
2012,King Fisher,Czech Republic,0
2012,King Fisher,Denmark,55
2012,King Fisher,Finland,49
2012,King Fisher,France,85
2012,King Fisher,Germany,48
2012,King Fisher,Greece,0
2012,King Fisher,India,1770
2012,King Fisher,Indonesia,4
2012,King Fisher,Ireland,4
2012,King Fisher,Israel,9
2012,King Fisher,Italy,39
2012,King Fisher,Japan,14
2012,King Fisher,Malaysia,0
2012,King Fisher,Mexico,10
2012,King Fisher,Myanmar,0
2012,King Fisher,Netherland,39
2012,King Fisher,New Zealand,20
2012,King Fisher,Norway,22
2012,King Fisher,Pakistan,2
2012,King Fisher,Philippines,9
2012,King Fisher,Poland,6
2012,King Fisher,Portugal,5
2012,King Fisher,Republic of Korea,7
2012,King Fisher,Romania,0
2012,King Fisher,Russian Federation,9
2012,King Fisher,Saudi Arabia,6
2012,King Fisher,Singapore,0
2012,King Fisher,Slovakia,0
2012,King Fisher,South Africa,2
2012,King Fisher,Spain,63
2012,King Fisher,Sri Lanka,1
2012,King Fisher,Sweden,3
2012,King Fisher,Switzerland,19
2012,King Fisher,Thailand,3
2012,King Fisher,Turkey,5
2012,King Fisher,Ukraine,4
2012,King Fisher,UK,91
2012,King Fisher,USA,203
2012,King Fisher,Vietnam,0
2012,King Fisher,Taiwan,2
2012,King Fisher,Others,44
2012,King Fisher,Not Sp,14
2012,Oman Air,Afghanistan,2
2012,Oman Air,Argentina,0
2012,Oman Air,Australia,94
2012,Oman Air,Austria,262
2012,Oman Air,Bangladesh,3
2012,Oman Air,Belgium,53
2012,Oman Air,Bhutan,13
2012,Oman Air,Brazil,14
2012,Oman Air,Bulgaria,0
2012,Oman Air,Cambodia,6
2012,Oman Air,Canada,51
2012,Oman Air,China,28
2012,Oman Air,Czech Republic,25
2012,Oman Air,Denmark,49
2012,Oman Air,Finland,10
2012,Oman Air,France,887
2012,Oman Air,Germany,3764
2012,Oman Air,Greece,2
2012,Oman Air,India,296
2012,Oman Air,Indonesia,3
2012,Oman Air,Ireland,27
2012,Oman Air,Israel,43
2012,Oman Air,Italy,548
2012,Oman Air,Japan,12
2012,Oman Air,Malaysia,2
2012,Oman Air,Mexico,5
2012,Oman Air,Myanmar,2
2012,Oman Air,Netherland,82
2012,Oman Air,New Zealand,23
2012,Oman Air,Norway,3
2012,Oman Air,Pakistan,55
2012,Oman Air,Philippines,30
2012,Oman Air,Poland,38
2012,Oman Air,Portugal,11
2012,Oman Air,Republic of Korea,7
2012,Oman Air,Romania,11
2012,Oman Air,Russian Federation,14
2012,Oman Air,Saudi Arabia,28
2012,Oman Air,Singapore,2
2012,Oman Air,Slovakia,17
2012,Oman Air,South Africa,10
2012,Oman Air,Spain,42
2012,Oman Air,Sri Lanka,16
2012,Oman Air,Sweden,8
2012,Oman Air,Switzerland,639
2012,Oman Air,Thailand,4
2012,Oman Air,Turkey,5
2012,Oman Air,Ukraine,0
2012,Oman Air,UK,1249
2012,Oman Air,USA,101
2012,Oman Air,Vietnam,3
2012,Oman Air,Taiwan,8
2012,Oman Air,Others,358
2012,Oman Air,Not Sp,44
2012,Spice Jet,Afghanistan,67
2012,Spice Jet,Argentina,61
2012,Spice Jet,Australia,387
2012,Spice Jet,Austria,61
2012,Spice Jet,Bangladesh,31
2012,Spice Jet,Belgium,105
2012,Spice Jet,Bhutan,40
2012,Spice Jet,Brazil,70
2012,Spice Jet,Bulgaria,59
2012,Spice Jet,Cambodia,26
2012,Spice Jet,Canada,447
2012,Spice Jet,China,2123
2012,Spice Jet,Czech Republic,76
2012,Spice Jet,Denmark,338
2012,Spice Jet,Finland,189
2012,Spice Jet,France,622
2012,Spice Jet,Germany,484
2012,Spice Jet,Greece,52
2012,Spice Jet,India,42715
2012,Spice Jet,Indonesia,36
2012,Spice Jet,Ireland,91
2012,Spice Jet,Israel,936
2012,Spice Jet,Italy,351
2012,Spice Jet,Japan,275
2012,Spice Jet,Malaysia,157
2012,Spice Jet,Mexico,88
2012,Spice Jet,Myanmar,30
2012,Spice Jet,Netherland,185
2012,Spice Jet,New Zealand,96
2012,Spice Jet,Norway,76
2012,Spice Jet,Pakistan,40
2012,Spice Jet,Philippines,32
2012,Spice Jet,Poland,340
2012,Spice Jet,Portugal,61
2012,Spice Jet,Republic of Korea,332
2012,Spice Jet,Romania,173
2012,Spice Jet,Russian Federation,637
2012,Spice Jet,Saudi Arabia,24
2012,Spice Jet,Singapore,54
2012,Spice Jet,Slovakia,43
2012,Spice Jet,South Africa,61
2012,Spice Jet,Spain,855
2012,Spice Jet,Sri Lanka,38
2012,Spice Jet,Sweden,151
2012,Spice Jet,Switzerland,179
2012,Spice Jet,Thailand,17
2012,Spice Jet,Turkey,161
2012,Spice Jet,Ukraine,118
2012,Spice Jet,UK,769
2012,Spice Jet,USA,1482
2012,Spice Jet,Vietnam,31
2012,Spice Jet,Taiwan,76
2012,Spice Jet,Others,1119
2012,Spice Jet,Not Sp,434
2012,Others,Afghanistan,6
2012,Others,Argentina,163
2012,Others,Australia,405
2012,Others,Austria,53
2012,Others,Bangladesh,1219
2012,Others,Belgium,101
2012,Others,Bhutan,29
2012,Others,Brazil,69
2012,Others,Bulgaria,9
2012,Others,Cambodia,22
2012,Others,Canada,326
2012,Others,China,661
2012,Others,Czech Republic,35
2012,Others,Denmark,137
2012,Others,Finland,216
2012,Others,France,507
2012,Others,Germany,515
2012,Others,Greece,78
2012,Others,India,31936
2012,Others,Indonesia,13
2012,Others,Ireland,31
2012,Others,Israel,314
2012,Others,Italy,291
2012,Others,Japan,310
2012,Others,Malaysia,317
2012,Others,Mexico,158
2012,Others,Myanmar,11
2012,Others,Netherland,1101
2012,Others,New Zealand,60
2012,Others,Norway,41
2012,Others,Pakistan,17
2012,Others,Philippines,46
2012,Others,Poland,390
2012,Others,Portugal,97
2012,Others,Republic of Korea,317
2012,Others,Romania,81
2012,Others,Russian Federation,304
2012,Others,Saudi Arabia,10
2012,Others,Singapore,22
2012,Others,Slovakia,42
2012,Others,South Africa,89
2012,Others,Spain,475
2012,Others,Sri Lanka,8
2012,Others,Sweden,97
2012,Others,Switzerland,77
2012,Others,Thailand,48
2012,Others,Turkey,47
2012,Others,Ukraine,76
2012,Others,UK,653
2012,Others,USA,1652
2012,Others,Vietnam,19
2012,Others,Taiwan,80
2012,Others,Others,690
2012,Others,Not Sp,220
2013,Jet Airways,Australia,"1,064"
2013,Jet Airways,Austria,220
2013,Jet Airways,Bangladesh,302
2013,Jet Airways,Belgium,565
2013,Jet Airways,Canada,"1,587"
2013,Jet Airways,China,"2,839"
2013,Jet Airways,Czech Republic,288
2013,Jet Airways,Denmark,352
2013,Jet Airways,France,"1,563"
2013,Jet Airways,Germany,"1,384"
2013,Jet Airways,India,"31,927"
2013,Jet Airways,Israel,785
2013,Jet Airways,Italy,720
2013,Jet Airways,Japan,516
2013,Jet Airways,Malaysia,260
2013,Jet Airways,Netherland,948
2013,Jet Airways,New Zealand,230
2013,Jet Airways,Norway,248
2013,Jet Airways,Pakistan,124
2013,Jet Airways,Poland,220
2013,Jet Airways,Republic of Korea,222
2013,Jet Airways,Russian Federation,"1,010"
2013,Jet Airways,Singapore,308
2013,Jet Airways,Spain,823
2013,Jet Airways,Sri Lanka,499
2013,Jet Airways,Sweden,374
2013,Jet Airways,Switzerland,298
2013,Jet Airways,Thailand,150
2013,Jet Airways,Taiwan,95
2013,Jet Airways,UK,"7,763"
2013,Jet Airways,USA,"5,932"
2013,Jet Airways,Other,"4,061"
2013,Baharian Air,Australia,2
2013,Baharian Air,Austria,0
2013,Baharian Air,Bangladesh,1
2013,Baharian Air,Belgium,0
2013,Baharian Air,Canada,0
2013,Baharian Air,China,2
2013,Baharian Air,Czech Republic,0
2013,Baharian Air,Denmark,0
2013,Baharian Air,France,2
2013,Baharian Air,Germany,0
2013,Baharian Air,India,13
2013,Baharian Air,Israel,0
2013,Baharian Air,Italy,1
2013,Baharian Air,Japan,0
2013,Baharian Air,Malaysia,0
2013,Baharian Air,Netherland,0
2013,Baharian Air,New Zealand,0
2013,Baharian Air,Norway,0
2013,Baharian Air,Pakistan,0
2013,Baharian Air,Poland,0
2013,Baharian Air,Republic of Korea,0
2013,Baharian Air,Russian Federation,0
2013,Baharian Air,Singapore,0
2013,Baharian Air,Spain,1
2013,Baharian Air,Sri Lanka,0
2013,Baharian Air,Sweden,3
2013,Baharian Air,Switzerland,0
2013,Baharian Air,Thailand,0
2013,Baharian Air,Taiwan,0
2013,Baharian Air,UK,3
2013,Baharian Air,USA,2
2013,Baharian Air,Other,30
2013,Biman Bangladesh,Australia,356
2013,Biman Bangladesh,Austria,1
2013,Biman Bangladesh,Bangladesh,"9,315"
2013,Biman Bangladesh,Belgium,32
2013,Biman Bangladesh,Canada,175
2013,Biman Bangladesh,China,175
2013,Biman Bangladesh,Czech Republic,4
2013,Biman Bangladesh,Denmark,42
2013,Biman Bangladesh,France,63
2013,Biman Bangladesh,Germany,78
2013,Biman Bangladesh,India,216
2013,Biman Bangladesh,Israel,6
2013,Biman Bangladesh,Italy,61
2013,Biman Bangladesh,Japan,196
2013,Biman Bangladesh,Malaysia,624
2013,Biman Bangladesh,Netherland,79
2013,Biman Bangladesh,New Zealand,63
2013,Biman Bangladesh,Norway,8
2013,Biman Bangladesh,Pakistan,123
2013,Biman Bangladesh,Poland,12
2013,Biman Bangladesh,Republic of Korea,81
2013,Biman Bangladesh,Russian Federation,19
2013,Biman Bangladesh,Singapore,50
2013,Biman Bangladesh,Spain,38
2013,Biman Bangladesh,Sri Lanka,97
2013,Biman Bangladesh,Sweden,55
2013,Biman Bangladesh,Switzerland,31
2013,Biman Bangladesh,Thailand,4
2013,Biman Bangladesh,Taiwan,24
2013,Biman Bangladesh,UK,211
2013,Biman Bangladesh,USA,449
2013,Biman Bangladesh,Other,387
2013,Air China,Australia,217
2013,Air China,Austria,10
2013,Air China,Bangladesh,30
2013,Air China,Belgium,34
2013,Air China,Canada,231
2013,Air China,China,"17,932"
2013,Air China,Czech Republic,10
2013,Air China,Denmark,48
2013,Air China,France,142
2013,Air China,Germany,255
2013,Air China,India,234
2013,Air China,Israel,41
2013,Air China,Italy,107
2013,Air China,Japan,242
2013,Air China,Malaysia,188
2013,Air China,Netherland,130
2013,Air China,New Zealand,21
2013,Air China,Norway,9
2013,Air China,Pakistan,14
2013,Air China,Poland,30
2013,Air China,Republic of Korea,229
2013,Air China,Russian Federation,170
2013,Air China,Singapore,36
2013,Air China,Spain,95
2013,Air China,Sri Lanka,3
2013,Air China,Sweden,31
2013,Air China,Switzerland,25
2013,Air China,Thailand,50
2013,Air China,Taiwan,108
2013,Air China,UK,256
2013,Air China,USA,748
2013,Air China,Other,"1,150"
2013,China Eastern Airlines,Australia,142
2013,China Eastern Airlines,Austria,7
2013,China Eastern Airlines,Bangladesh,7
2013,China Eastern Airlines,Belgium,22
2013,China Eastern Airlines,Canada,232
2013,China Eastern Airlines,China,"19,955"
2013,China Eastern Airlines,Czech Republic,4
2013,China Eastern Airlines,Denmark,30
2013,China Eastern Airlines,France,221
2013,China Eastern Airlines,Germany,244
2013,China Eastern Airlines,India,293
2013,China Eastern Airlines,Israel,53
2013,China Eastern Airlines,Italy,51
2013,China Eastern Airlines,Japan,"1,747"
2013,China Eastern Airlines,Malaysia,49
2013,China Eastern Airlines,Netherland,53
2013,China Eastern Airlines,New Zealand,62
2013,China Eastern Airlines,Norway,13
2013,China Eastern Airlines,Pakistan,11
2013,China Eastern Airlines,Poland,16
2013,China Eastern Airlines,Republic of Korea,120
2013,China Eastern Airlines,Russian Federation,119
2013,China Eastern Airlines,Singapore,22
2013,China Eastern Airlines,Spain,38
2013,China Eastern Airlines,Sri Lanka,9
2013,China Eastern Airlines,Sweden,45
2013,China Eastern Airlines,Switzerland,63
2013,China Eastern Airlines,Thailand,16
2013,China Eastern Airlines,Taiwan,262
2013,China Eastern Airlines,UK,209
2013,China Eastern Airlines,USA,971
2013,China Eastern Airlines,Other,565
2013,China Southern Airlines,Australia,"1,515"
2013,China Southern Airlines,Austria,23
2013,China Southern Airlines,Bangladesh,29
2013,China Southern Airlines,Belgium,24
2013,China Southern Airlines,Canada,873
2013,China Southern Airlines,China,"5,051"
2013,China Southern Airlines,Czech Republic,3
2013,China Southern Airlines,Denmark,37
2013,China Southern Airlines,France,115
2013,China Southern Airlines,Germany,95
2013,China Southern Airlines,India,912
2013,China Southern Airlines,Israel,35
2013,China Southern Airlines,Italy,83
2013,China Southern Airlines,Japan,"3,022"
2013,China Southern Airlines,Malaysia,21
2013,China Southern Airlines,Netherland,41
2013,China Southern Airlines,New Zealand,63
2013,China Southern Airlines,Norway,8
2013,China Southern Airlines,Pakistan,6
2013,China Southern Airlines,Poland,11
2013,China Southern Airlines,Republic of Korea,"1,705"
2013,China Southern Airlines,Russian Federation,76
2013,China Southern Airlines,Singapore,16
2013,China Southern Airlines,Spain,78
2013,China Southern Airlines,Sri Lanka,2
2013,China Southern Airlines,Sweden,26
2013,China Southern Airlines,Switzerland,20
2013,China Southern Airlines,Thailand,9
2013,China Southern Airlines,Taiwan,685
2013,China Southern Airlines,UK,311
2013,China Southern Airlines,USA,"1,177"
2013,China Southern Airlines,Other,829
2013,Dragon Air,Australia,"1,335"
2013,Dragon Air,Austria,37
2013,Dragon Air,Bangladesh,80
2013,Dragon Air,Belgium,33
2013,Dragon Air,Canada,"1,416"
2013,Dragon Air,China,"7,104"
2013,Dragon Air,Czech Republic,21
2013,Dragon Air,Denmark,61
2013,Dragon Air,France,296
2013,Dragon Air,Germany,183
2013,Dragon Air,India,740
2013,Dragon Air,Israel,66
2013,Dragon Air,Italy,63
2013,Dragon Air,Japan,"4,109"
2013,Dragon Air,Malaysia,"1,958"
2013,Dragon Air,Netherland,114
2013,Dragon Air,New Zealand,138
2013,Dragon Air,Norway,32
2013,Dragon Air,Pakistan,12
2013,Dragon Air,Poland,15
2013,Dragon Air,Republic of Korea,"1,953"
2013,Dragon Air,Russian Federation,90
2013,Dragon Air,Singapore,177
2013,Dragon Air,Spain,77
2013,Dragon Air,Sri Lanka,23
2013,Dragon Air,Sweden,25
2013,Dragon Air,Switzerland,55
2013,Dragon Air,Thailand,49
2013,Dragon Air,Taiwan,"2,836"
2013,Dragon Air,UK,714
2013,Dragon Air,USA,"1,598"
2013,Dragon Air,Other,"1,721"
2013,Etihad Airway,Australia,500
2013,Etihad Airway,Austria,209
2013,Etihad Airway,Bangladesh,55
2013,Etihad Airway,Belgium,"1,210"
2013,Etihad Airway,Canada,271
2013,Etihad Airway,China,334
2013,Etihad Airway,Czech Republic,97
2013,Etihad Airway,Denmark,221
2013,Etihad Airway,France,"1,986"
2013,Etihad Airway,Germany,"3,815"
2013,Etihad Airway,India,724
2013,Etihad Airway,Israel,62
2013,Etihad Airway,Italy,587
2013,Etihad Airway,Japan,209
2013,Etihad Airway,Malaysia,80
2013,Etihad Airway,Netherland,871
2013,Etihad Airway,New Zealand,83
2013,Etihad Airway,Norway,230
2013,Etihad Airway,Pakistan,276
2013,Etihad Airway,Poland,79
2013,Etihad Airway,Republic of Korea,189
2013,Etihad Airway,Russian Federation,183
2013,Etihad Airway,Singapore,65
2013,Etihad Airway,Spain,152
2013,Etihad Airway,Sri Lanka,43
2013,Etihad Airway,Sweden,195
2013,Etihad Airway,Switzerland,383
2013,Etihad Airway,Thailand,7
2013,Etihad Airway,Taiwan,19
2013,Etihad Airway,UK,"2,721"
2013,Etihad Airway,USA,"1,477"
2013,Etihad Airway,Other,"2,155"
2013,Fly Dubai,Australia,359
2013,Fly Dubai,Austria,68
2013,Fly Dubai,Bangladesh,65
2013,Fly Dubai,Belgium,96
2013,Fly Dubai,Canada,403
2013,Fly Dubai,China,307
