Year BS,Year AD,Protected Area,Classification,Month,No of tourist
2070/71,2013/14,Shivapuri Nagarjun National Park,National Park,Mansir,10915
2070/71,2013/14,Shivapuri Nagarjun National Park,National Park,Paush,14792
2070/71,2013/14,Shivapuri Nagarjun National Park,National Park,Magh,13314
2070/71,2013/14,Shivapuri Nagarjun National Park,National Park,Fagun,13654
2070/71,2013/14,Shivapuri Nagarjun National Park,National Park,Chaitra,19931
2070/71,2013/14,Shivapuri Nagarjun National Park,National Park,Baisakh,19721
2070/71,2013/14,Shivapuri Nagarjun National Park,National Park,Jesth,18123
2070/71,2013/14,Shivapuri Nagarjun National Park,National Park,Asar,17735
2070/71,2013/14,Shukla Phata Wildlife Reserve,Wildlife Reserve,Shrawan,0
2070/71,2013/14,Shukla Phata Wildlife Reserve,Wildlife Reserve,Bhadra,5
2070/71,2013/14,Shukla Phata Wildlife Reserve,Wildlife Reserve,Aswin,51
2070/71,2013/14,Shukla Phata Wildlife Reserve,Wildlife Reserve,Kartik,110
2070/71,2013/14,Shukla Phata Wildlife Reserve,Wildlife Reserve,Mansir,131
2070/71,2013/14,Shukla Phata Wildlife Reserve,Wildlife Reserve,Paush,89
2070/71,2013/14,Shukla Phata Wildlife Reserve,Wildlife Reserve,Magh,61
2070/71,2013/14,Shukla Phata Wildlife Reserve,Wildlife Reserve,Fagun,124
2070/71,2013/14,Shukla Phata Wildlife Reserve,Wildlife Reserve,Chaitra,131
2070/71,2013/14,Shukla Phata Wildlife Reserve,Wildlife Reserve,Baisakh,161
2070/71,2013/14,Shukla Phata Wildlife Reserve,Wildlife Reserve,Jesth,93
2070/71,2013/14,Shukla Phata Wildlife Reserve,Wildlife Reserve,Asar,28
