Year,Month,Crime,Number of tourist
2013,Oct.,Theft/Robbery,31
2009,Oct.,Lost/Missing,45
2010,Oct.,Lost/Missing,28
2011,Oct.,Lost/Missing,44
2012,Oct.,Lost/Missing,49
2013,Oct.,Lost/Missing,41
2009,Oct.,Cheating/ Froud,3
2010,Oct.,Cheating/ Froud,5
2011,Oct.,Cheating/ Froud,2
2012,Oct.,Cheating/ Froud,2
2013,Oct.,Cheating/ Froud,6
2009,Oct.,Others,2
2010,Oct.,Others,2
2011,Oct.,Others,3
2012,Oct.,Others,3
2013,Oct.,Others,8
2009,Nov.,Theft/Robbery,14
2010,Nov.,Theft/Robbery,44
2011,Nov.,Theft/Robbery,44
2012,Nov.,Theft/Robbery,43
2013,Nov.,Theft/Robbery,55
2009,Nov.,Lost/Missing,46
2010,Nov.,Lost/Missing,48
2011,Nov.,Lost/Missing,49
2012,Nov.,Lost/Missing,36
2013,Nov.,Lost/Missing,47
2009,Nov.,Cheating/ Froud,1
2010,Nov.,Cheating/ Froud,0
2011,Nov.,Cheating/ Froud,1
2012,Nov.,Cheating/ Froud,6
2013,Nov.,Cheating/ Froud,3
2009,Nov.,Others,3
2010,Nov.,Others,0
2011,Nov.,Others,5
2012,Nov.,Others,2
2013,Nov.,Others,7
2009,Dec.,Theft/Robbery,19
2010,Dec.,Theft/Robbery,22
2011,Dec.,Theft/Robbery,26
2012,Dec.,Theft/Robbery,30
2013,Dec.,Theft/Robbery,37
2009,Dec.,Lost/Missing,18
2010,Dec.,Lost/Missing,25
2011,Dec.,Lost/Missing,37
2012,Dec.,Lost/Missing,24
2013,Dec.,Lost/Missing,38
2009,Dec.,Cheating/ Froud,0
2010,Dec.,Cheating/ Froud,2
2011,Dec.,Cheating/ Froud,2
2012,Dec.,Cheating/ Froud,3
2013,Dec.,Cheating/ Froud,6
2009,Dec.,Others,3
2010,Dec.,Others,0
2011,Dec.,Others,2
2012,Dec.,Others,1
2013,Dec.,Others,3
